system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=127.52941176470588}, {classification=3, sum=238212.95294117674}, {classification=4, sum=42019.93725490198}, {classification=5, sum=15478.098039215685}, {classification=6, sum=2521.788235294117}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=581.4941176470588}, {classification=2, sum=8.0}, {classification=3, sum=782201.5882352919}, {classification=4, sum=95546.02352941179}, {classification=5, sum=7341.156862745098}, {classification=6, sum=5505.364705882352}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=972.3764705882353}, {classification=2, sum=48.0}, {classification=3, sum=1267599.941176465}, {classification=4, sum=213865.0666666667}, {classification=5, sum=7281.176470588236}, {classification=6, sum=114231.43529411765}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=1291.0}, {classification=2, sum=68.0}, {classification=3, sum=1600790.0470588165}, {classification=4, sum=148120.15686274538}, {classification=5, sum=31447.470588235297}, {classification=6, sum=44259.01176470607}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=442.5019607843137}, {classification=2, sum=30.0}, {classification=3, sum=777671.5058823535}, {classification=4, sum=49980.09411764708}, {classification=5, sum=18872.509803921566}, {classification=6, sum=3617.6000000000004}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=160.74901960784314}, {classification=2, sum=8.0}, {classification=3, sum=238463.05882352957}, {classification=4, sum=11608.345098039215}, {classification=5, sum=7932.490196078432}, {classification=6, sum=1710.2352941176473}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=153.50196078431372}, {classification=3, sum=133408.88235294117}, {classification=4, sum=4283.827450980392}, {classification=5, sum=12592.490196078432}, {classification=6, sum=571.2470588235295}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=129.49803921568628}, {classification=2, sum=12.0}, {classification=3, sum=142721.34117647065}, {classification=4, sum=5245.866666666668}, {classification=5, sum=34325.60784313726}, {classification=6, sum=1534.2823529411767}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=10149.882352941164}, {classification=4, sum=8299.63921568628}, {classification=5, sum=123.72549019607843}, {classification=6, sum=8761.129411764701}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=113.49411764705883}, {classification=3, sum=131024.76470588255}, {classification=4, sum=4366.133333333334}, {classification=5, sum=2198.7450980392164}, {classification=6, sum=378.0}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
19,"[{classification=0, sum=0.0}, {classification=1, sum=1405.6196078431371}, {classification=2, sum=32.0}, {classification=3, sum=1121702.8117647055}, {classification=4, sum=99803.07450980393}, {classification=5, sum=8049.980392156864}, {classification=6, sum=10596.75294117647}]",20,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.34877919174916],[22.140820165289057,56.34877919174916],[22.140820165289057,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.34877919174916]]]}"
20,"[{classification=0, sum=0.0}, {classification=1, sum=1367.3764705882354}, {classification=2, sum=24.0}, {classification=3, sum=1019274.6117647009}, {classification=4, sum=174257.50588235297}, {classification=5, sum=11129.333333333332}, {classification=6, sum=7112.988235294117}]",21,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.52004398968645]]]}"
21,"[{classification=0, sum=0.0}, {classification=1, sum=1494.8705882352942}, {classification=2, sum=36.0}, {classification=3, sum=1431944.6235294081}, {classification=4, sum=176917.97647058827}, {classification=5, sum=15631.176470588236}, {classification=6, sum=13134.75294117647}]",22,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,56.69130878762374]]]}"
22,"[{classification=0, sum=0.0}, {classification=1, sum=906.2509803921569}, {classification=2, sum=46.0}, {classification=3, sum=1323453.0235294052}, {classification=4, sum=137197.58431372553}, {classification=5, sum=10623.098039215685}, {classification=6, sum=13772.941176470586}]",23,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,56.86257358556103]]]}"
23,"[{classification=0, sum=0.0}, {classification=1, sum=515.0}, {classification=2, sum=40.0}, {classification=3, sum=458590.6588235297}, {classification=4, sum=306412.95686274517}, {classification=5, sum=21836.50980392157}, {classification=6, sum=8855.929411764704}]",24,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.03383838349832]]]}"
24,"[{classification=0, sum=0.0}, {classification=1, sum=477.0}, {classification=2, sum=58.0}, {classification=3, sum=764578.6705882357}, {classification=4, sum=183255.41960784319}, {classification=5, sum=18355.823529411762}, {classification=6, sum=12283.317647058822}]",25,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.20510318143561]]]}"
25,"[{classification=0, sum=0.0}, {classification=1, sum=323.0}, {classification=2, sum=34.0}, {classification=3, sum=318438.8941176472}, {classification=4, sum=96848.73725490193}, {classification=5, sum=10618.254901960783}, {classification=6, sum=39008.54117647068}]",26,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.54763277731019],[21.556105082644528,57.54763277731019],[21.556105082644528,57.3763679793729]]]}"
26,"[{classification=0, sum=0.0}, {classification=1, sum=20.0}, {classification=2, sum=2.0}, {classification=3, sum=35086.42352941177}, {classification=4, sum=6686.070588235294}, {classification=5, sum=1098.7254901960785}, {classification=6, sum=1234.5882352941176}]",27,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.71889757524748],[21.556105082644528,57.71889757524748],[21.556105082644528,57.54763277731019]]]}"
34,"[{classification=0, sum=0.0}, {classification=1, sum=422.0}, {classification=2, sum=26.0}, {classification=3, sum=976007.5411764709}, {classification=4, sum=38208.0}, {classification=5, sum=11601.529411764704}, {classification=6, sum=2862.0}]",35,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.34877919174916]]]}"
