system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=61.0}, {classification=3, sum=177762.01176470608}, {classification=4, sum=20080.32941176469}, {classification=5, sum=23431.07843137255}, {classification=6, sum=1228.1882352941175}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=197.74901960784314}, {classification=2, sum=4.0}, {classification=3, sum=673923.6588235289}, {classification=4, sum=43221.83529411765}, {classification=5, sum=9556.215686274509}, {classification=6, sum=2440.8470588235296}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=318.2470588235294}, {classification=2, sum=12.0}, {classification=3, sum=1257172.3411764654}, {classification=4, sum=196696.53333333338}, {classification=5, sum=8603.686274509804}, {classification=6, sum=71272.68235294118}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=485.6235294117647}, {classification=2, sum=40.0}, {classification=3, sum=1666124.4941176462}, {classification=4, sum=114106.1803921572}, {classification=5, sum=28978.70588235294}, {classification=6, sum=42630.023529411876}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=211.0}, {classification=2, sum=20.0}, {classification=3, sum=693477.352941177}, {classification=4, sum=23271.18431372549}, {classification=5, sum=30769.47058823529}, {classification=6, sum=1352.6588235294116}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=51.0}, {classification=2, sum=4.0}, {classification=3, sum=206977.71764705898}, {classification=4, sum=5681.678431372551}, {classification=5, sum=5788.117647058824}, {classification=6, sum=1517.3411764705882}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=87.0}, {classification=2, sum=16.0}, {classification=3, sum=273456.0352941177}, {classification=4, sum=9743.576470588243}, {classification=5, sum=1505.0}, {classification=6, sum=925.8117647058823}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=69.0}, {classification=2, sum=4.0}, {classification=3, sum=211971.11764705894}, {classification=4, sum=5235.105882352943}, {classification=5, sum=29081.254901960783}, {classification=6, sum=1393.1294117647058}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=10974.917647058803}, {classification=4, sum=9798.525490196063}, {classification=5, sum=131.2549019607843}, {classification=6, sum=7439.858823529416}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=17.0}, {classification=3, sum=137669.88235294135}, {classification=4, sum=244.0}, {classification=5, sum=204.98039215686276}, {classification=6, sum=48.0}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
