system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=172.74901960784314}, {classification=2, sum=26.99607843137255}, {classification=3, sum=273444.01176470594}, {classification=4, sum=26470.63529411761}, {classification=5, sum=7456.980392156861}, {classification=6, sum=3906.5882352941176}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=360.0}, {classification=2, sum=66.50196078431372}, {classification=3, sum=954208.0117647036}, {classification=4, sum=117566.91764705883}, {classification=5, sum=7714.980392156863}, {classification=6, sum=8787.529411764704}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=668.1254901960784}, {classification=2, sum=66.0}, {classification=3, sum=1711051.894117639}, {classification=4, sum=311953.2862745099}, {classification=5, sum=6769.980392156862}, {classification=6, sum=40951.57647058824}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=630.1254901960784}, {classification=2, sum=116.0}, {classification=3, sum=2175861.6705882237}, {classification=4, sum=134416.37647058876}, {classification=5, sum=22534.86274509804}, {classification=6, sum=55625.5529411765}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=329.0}, {classification=2, sum=36.0}, {classification=3, sum=946416.8235294123}, {classification=4, sum=81079.76470588235}, {classification=5, sum=10998.13725490196}, {classification=6, sum=6531.505882352942}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=104.0}, {classification=2, sum=8.0}, {classification=3, sum=251274.36470588247}, {classification=4, sum=67709.66274509802}, {classification=5, sum=6835.6274509803925}, {classification=6, sum=4370.682352941176}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=86.0}, {classification=2, sum=20.0}, {classification=3, sum=322513.29411764705}, {classification=4, sum=45938.58823529427}, {classification=5, sum=3075.627450980392}, {classification=6, sum=4807.552941176469}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=36.0}, {classification=2, sum=10.250980392156862}, {classification=3, sum=280142.63529411773}, {classification=4, sum=52843.71764705877}, {classification=5, sum=14125.0}, {classification=6, sum=8283.505882352942}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=7411.764705882345}, {classification=4, sum=14313.788235294109}, {classification=5, sum=205.0}, {classification=6, sum=11104.941176470584}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=59.0}, {classification=3, sum=206804.37647058853}, {classification=4, sum=969.9764705882353}, {classification=5, sum=295.0}, {classification=6, sum=691.1529411764707}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
19,"[{classification=0, sum=0.0}, {classification=1, sum=519.8745098039216}, {classification=2, sum=60.0}, {classification=3, sum=1667229.7058823472}, {classification=4, sum=51711.62352941177}, {classification=5, sum=4488.137254901961}, {classification=6, sum=10535.929411764704}]",20,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.34877919174916],[22.140820165289057,56.34877919174916],[22.140820165289057,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.34877919174916]]]}"
20,"[{classification=0, sum=0.0}, {classification=1, sum=652.8745098039216}, {classification=2, sum=56.0}, {classification=3, sum=1512409.0352941127}, {classification=4, sum=123117.01960784316}, {classification=5, sum=11649.333333333332}, {classification=6, sum=9272.235294117647}]",21,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.52004398968645]]]}"
21,"[{classification=0, sum=0.0}, {classification=1, sum=996.5019607843137}, {classification=2, sum=50.0}, {classification=3, sum=2020542.1647058725}, {classification=4, sum=166081.7254901961}, {classification=5, sum=4869.3725490196075}, {classification=6, sum=11494.494117647058}]",22,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,56.69130878762374]]]}"
22,"[{classification=0, sum=0.0}, {classification=1, sum=460.4980392156863}, {classification=2, sum=120.74509803921569}, {classification=3, sum=1817342.4117646944}, {classification=4, sum=105392.20392156864}, {classification=5, sum=8362.450980392157}, {classification=6, sum=15959.24705882353}]",23,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,56.86257358556103]]]}"
23,"[{classification=0, sum=0.0}, {classification=1, sum=499.0}, {classification=2, sum=67.24705882352941}, {classification=3, sum=932116.6941176418}, {classification=4, sum=221632.90980392165}, {classification=5, sum=8896.254901960785}, {classification=6, sum=9112.470588235294}]",24,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.03383838349832]]]}"
24,"[{classification=0, sum=0.0}, {classification=1, sum=329.0}, {classification=2, sum=107.74901960784314}, {classification=3, sum=1175954.4352941073}, {classification=4, sum=142828.43921568626}, {classification=5, sum=13363.13725490196}, {classification=6, sum=15426.941176470587}]",25,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.20510318143561]]]}"
25,"[{classification=0, sum=0.0}, {classification=1, sum=175.12549019607843}, {classification=2, sum=38.0}, {classification=3, sum=592206.0941176476}, {classification=4, sum=117554.82352941198}, {classification=5, sum=7786.86274509804}, {classification=6, sum=37166.80000000004}]",26,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.54763277731019],[21.556105082644528,57.54763277731019],[21.556105082644528,57.3763679793729]]]}"
26,"[{classification=0, sum=0.0}, {classification=1, sum=12.874509803921569}, {classification=2, sum=8.0}, {classification=3, sum=59171.22352941173}, {classification=4, sum=14758.290196078431}, {classification=5, sum=2046.6862745098042}, {classification=6, sum=4083.0823529411764}]",27,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.71889757524748],[21.556105082644528,57.71889757524748],[21.556105082644528,57.54763277731019]]]}"
34,"[{classification=0, sum=0.0}, {classification=1, sum=453.99607843137255}, {classification=2, sum=76.0}, {classification=3, sum=1504434.4352941127}, {classification=4, sum=16448.501960784313}, {classification=5, sum=4140.196078431372}, {classification=6, sum=5599.505882352942}]",35,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.34877919174916]]]}"
35,"[{classification=0, sum=0.0}, {classification=1, sum=646.9882352941177}, {classification=2, sum=74.0}, {classification=3, sum=1729213.1882352848}, {classification=4, sum=113051.40392156859}, {classification=5, sum=11507.49019607843}, {classification=6, sum=9427.2}]",36,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.52004398968645],[22.725535247933585,56.52004398968645],[22.725535247933585,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.52004398968645]]]}"
36,"[{classification=0, sum=0.0}, {classification=1, sum=479.4901960784314}, {classification=2, sum=60.0}, {classification=3, sum=2100430.9764705803}, {classification=4, sum=63914.964705882325}, {classification=5, sum=5842.470588235295}, {classification=6, sum=7720.7764705882355}]",37,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.69130878762374],[22.725535247933585,56.69130878762374],[22.725535247933585,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,56.69130878762374]]]}"
37,"[{classification=0, sum=0.0}, {classification=1, sum=457.99607843137255}, {classification=2, sum=98.0}, {classification=3, sum=1910042.6705882233}, {classification=4, sum=31984.0156862745}, {classification=5, sum=4946.235294117647}, {classification=6, sum=2877.0117647058823}]",38,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.86257358556103],[22.725535247933585,56.86257358556103],[22.725535247933585,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,56.86257358556103]]]}"
