"","GPS_LAT","GPS_LONG","class"
"188",56.5877,23.97638,"3"
"189",56.44394,23.9537,"3"
"190",56.4791,23.96663,"3"
"191",56.53183,23.9861,"3"
"192",56.56699,23.99911,"3"
"193",56.30695,24.0356,"3"
"194",56.3421,24.04855,"3"
"195",56.37724,24.06153,"3"
"196",56.42288,23.97908,"3"
"197",56.51023,24.01026,"3"
"198",56.54593,24.02459,"3"
"199",56.58107,24.03761,"3"
"200",56.89737,24.15643,"3"
"201",56.3636,23.99189,"3"
"202",56.45455,24.02387,"3"
"203",56.52485,24.04995,"3"
"204",56.57405,24.1015,"3"
"205",56.28812,24.06039,"3"
"206",56.32102,24.07383,"3"
"207",56.76025,24.23835,"3"
"208",56.79538,24.25169,"3"
"209",57.07634,24.35962,"3"
"210",56.28938,24.1942,"3"
"211",56.76354,24.37337,"3"
"212",56.85168,24.40729,"3"
"213",56.29994,24.09904,"3"
"214",56.38762,24.13147,"3"
"215",56.54619,24.19408,"3"
"216",56.77425,24.27709,"3"
"217",56.32803,24.17554,"3"
"218",56.36319,24.18865,"3"
"219",56.52412,24.25148,"3"
"220",56.80223,24.35474,"3"
"221",56.37721,24.22697,"3"
"222",56.72841,24.35993,"3"
"223",56.32096,24.23902,"3"
"224",56.35609,24.25216,"3"
"225",56.39121,24.26533,"3"
"226",56.47903,24.29841,"3"
"227",56.70727,24.38524,"3"
"228",56.79506,24.41895,"3"
"229",56.45433,24.35544,"3"
"230",56.4132,24.40594,"3"
"231",56.42601,24.4442,"3"
"232",56.51378,24.47775,"3"
"233",56.58397,24.5047,"3"
"234",56.63661,24.52498,"3"
"235",56.91366,24.66651,"3"
"236",56.40486,24.46931,"3"
"237",56.36615,24.48769,"3"
"238",56.52408,24.54822,"3"
"239",56.76969,24.64352,"3"
"240",56.80476,24.65728,"3"
"241",56.53801,24.58686,"3"
"242",56.85374,24.71007,"3"
"243",56.55847,24.72802,"3"
"244",56.32383,24.53775,"3"
"245",56.35892,24.55116,"3"
"246",56.51845,24.61405,"3"
"247",56.60453,24.64596,"3"
"248",56.63962,24.65961,"3"
"249",56.76237,24.70766,"3"
"250",56.6184,24.68472,"3"
"251",56.80484,24.75421,"3"
"252",56.35166,24.61463,"3"
"253",56.50953,24.67565,"3"
"254",56.89529,24.82732,"3"
"255",56.37944,24.69163,"3"
"256",56.48098,24.76431,"3"
"257",56.7965,24.88877,"3"
"258",56.62765,24.92204,"3"
"259",56.79912,25.02401,"3"
"260",56.67276,25.00684,"3"
