system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=28.0}, {classification=2, sum=16.0}, {classification=3, sum=211759.98823529444}, {classification=4, sum=40799.16862745103}, {classification=5, sum=25680.470588235294}, {classification=6, sum=518.0470588235294}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=127.0}, {classification=2, sum=30.0}, {classification=3, sum=834817.9294117625}, {classification=4, sum=102108.31372549024}, {classification=5, sum=22929.960784313727}, {classification=6, sum=2076.4}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=265.0}, {classification=2, sum=58.0}, {classification=3, sum=1454015.6941176415}, {classification=4, sum=250667.01176470594}, {classification=5, sum=18023.058823529413}, {classification=6, sum=38229.01176470588}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=350.0}, {classification=2, sum=78.0}, {classification=3, sum=1976823.1411764587}, {classification=4, sum=123845.41176470628}, {classification=5, sum=24140.74509803922}, {classification=6, sum=38252.282352941256}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=146.12549019607843}, {classification=2, sum=32.0}, {classification=3, sum=913876.0235294122}, {classification=4, sum=35562.2431372549}, {classification=5, sum=25841.86274509804}, {classification=6, sum=2148.9882352941177}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=42.87450980392157}, {classification=2, sum=10.0}, {classification=3, sum=255373.4000000002}, {classification=4, sum=6565.066666666669}, {classification=5, sum=8684.058823529413}, {classification=6, sum=1042.2823529411764}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=34.0}, {classification=2, sum=6.0}, {classification=3, sum=273022.8941176471}, {classification=4, sum=3554.7294117647066}, {classification=5, sum=3241.254901960784}, {classification=6, sum=1219.6235294117648}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=19.0}, {classification=2, sum=4.0}, {classification=3, sum=208295.52941176476}, {classification=4, sum=5339.952941176473}, {classification=5, sum=30479.35294117647}, {classification=6, sum=1553.8117647058825}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=11560.447058823507}, {classification=4, sum=7692.078431372547}, {classification=5, sum=361.843137254902}, {classification=6, sum=8895.71764705882}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=32.28235294117647}, {classification=3, sum=160034.55294117672}, {classification=4, sum=276.0}, {classification=5, sum=845.0}, {classification=6, sum=12.0}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
