system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=51.74509803921569}, {classification=2, sum=4.0}, {classification=3, sum=192627.82352941192}, {classification=4, sum=19474.352941176454}, {classification=5, sum=23339.803921568622}, {classification=6, sum=634.5411764705884}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=134.25098039215686}, {classification=2, sum=20.0}, {classification=3, sum=700050.8117647041}, {classification=4, sum=39287.79607843138}, {classification=5, sum=26701.56862745098}, {classification=6, sum=1720.3529411764707}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=278.0}, {classification=2, sum=28.0}, {classification=3, sum=1303863.4352941108}, {classification=4, sum=223517.25490196078}, {classification=5, sum=44828.13725490196}, {classification=6, sum=42496.56470588235}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=305.12549019607843}, {classification=2, sum=88.0}, {classification=3, sum=1614762.6705882335}, {classification=4, sum=116055.74901960819}, {classification=5, sum=62971.078431372545}, {classification=6, sum=38059.5294117648}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=131.0}, {classification=2, sum=24.0}, {classification=3, sum=729549.6117647064}, {classification=4, sum=26494.698039215687}, {classification=5, sum=37897.313725490196}, {classification=6, sum=1598.705882352941}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=80.0}, {classification=2, sum=6.0}, {classification=3, sum=247343.90588235308}, {classification=4, sum=9046.211764705882}, {classification=5, sum=7790.921568627451}, {classification=6, sum=2023.0352941176473}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=181.0}, {classification=2, sum=4.0}, {classification=3, sum=262245.22352941177}, {classification=4, sum=11985.866666666645}, {classification=5, sum=2986.1960784313724}, {classification=6, sum=1260.164705882353}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=42.0}, {classification=2, sum=8.0}, {classification=3, sum=252198.08235294127}, {classification=4, sum=12285.584313725472}, {classification=5, sum=15582.431372549021}, {classification=6, sum=2744.2352941176473}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=1, sum=2.0}, {classification=2, sum=4.0}, {classification=3, sum=9011.482352941166}, {classification=4, sum=11038.619607843122}, {classification=5, sum=213.72549019607845}, {classification=6, sum=7431.505882352946}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=39.498039215686276}, {classification=3, sum=131683.7058823532}, {classification=4, sum=304.0}, {classification=5, sum=5483.411764705882}, {classification=6, sum=72.0}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
