system:index,groups,label,.geo
22,"[{classification=0, sum=0.0}, {classification=1, sum=251.0}, {classification=2, sum=54.0}, {classification=3, sum=1407332.5176470487}, {classification=4, sum=79733.94509803923}, {classification=5, sum=20159.29411764706}, {classification=6, sum=9731.976470588235}]",23,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,56.86257358556103]]]}"
23,"[{classification=0, sum=0.0}, {classification=1, sum=107.0}, {classification=2, sum=18.0}, {classification=3, sum=528083.3647058819}, {classification=4, sum=94286.8078431373}, {classification=5, sum=15446.705882352931}, {classification=6, sum=1240.5176470588235}]",24,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.03383838349832]]]}"
24,"[{classification=0, sum=0.0}, {classification=1, sum=262.87450980392157}, {classification=2, sum=24.0}, {classification=3, sum=912031.1294117579}, {classification=4, sum=92193.14509803925}, {classification=5, sum=14067.49019607843}, {classification=6, sum=4847.082352941176}]",25,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.20510318143561]]]}"
25,"[{classification=0, sum=0.0}, {classification=1, sum=168.49411764705883}, {classification=2, sum=34.0}, {classification=3, sum=431966.28235294146}, {classification=4, sum=59938.79215686273}, {classification=5, sum=5670.0}, {classification=6, sum=38782.61176470597}]",26,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.54763277731019],[21.556105082644528,57.54763277731019],[21.556105082644528,57.3763679793729]]]}"
26,"[{classification=0, sum=0.0}, {classification=1, sum=11.490196078431374}, {classification=2, sum=2.0}, {classification=3, sum=32356.858823529405}, {classification=4, sum=6126.133333333333}, {classification=5, sum=570.2156862745098}, {classification=6, sum=730.9882352941177}]",27,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.71889757524748],[21.556105082644528,57.71889757524748],[21.556105082644528,57.54763277731019]]]}"
34,"[{classification=0, sum=0.0}, {classification=1, sum=182.8392156862745}, {classification=2, sum=52.0}, {classification=3, sum=1171408.22352941}, {classification=4, sum=33549.882352941175}, {classification=5, sum=10125.333333333336}, {classification=6, sum=5046.729411764706}]",35,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.34877919174916]]]}"
35,"[{classification=0, sum=0.0}, {classification=1, sum=512.0}, {classification=2, sum=60.0}, {classification=3, sum=1465353.129411757}, {classification=4, sum=102759.59215686272}, {classification=5, sum=19289.98039215686}, {classification=6, sum=13993.505882352942}]",36,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.52004398968645],[22.725535247933585,56.52004398968645],[22.725535247933585,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.52004398968645]]]}"
36,"[{classification=0, sum=0.0}, {classification=1, sum=414.2470588235294}, {classification=2, sum=66.0}, {classification=3, sum=1697679.3294117653}, {classification=4, sum=35136.12549019608}, {classification=5, sum=23580.0}, {classification=6, sum=7181.129411764706}]",37,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.69130878762374],[22.725535247933585,56.69130878762374],[22.725535247933585,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,56.69130878762374]]]}"
37,"[{classification=0, sum=0.0}, {classification=1, sum=291.25098039215686}, {classification=2, sum=54.0}, {classification=3, sum=1330327.552941163}, {classification=4, sum=27073.129411764723}, {classification=5, sum=22496.764705882353}, {classification=6, sum=2338.494117647059}]",38,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.86257358556103],[22.725535247933585,56.86257358556103],[22.725535247933585,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,56.86257358556103]]]}"
38,"[{classification=0, sum=0.0}, {classification=1, sum=221.0}, {classification=2, sum=26.0}, {classification=3, sum=866238.023529409}, {classification=4, sum=221790.94901960777}, {classification=5, sum=19581.156862745094}, {classification=6, sum=4846.517647058823}]",39,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.03383838349832],[22.725535247933585,57.03383838349832],[22.725535247933585,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.03383838349832]]]}"
39,"[{classification=0, sum=0.0}, {classification=1, sum=182.0}, {classification=2, sum=72.0}, {classification=3, sum=1131065.4588235295}, {classification=4, sum=132077.78823529417}, {classification=5, sum=66659.66666666667}, {classification=6, sum=13856.988235294117}]",40,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.20510318143561],[22.725535247933585,57.20510318143561],[22.725535247933585,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.20510318143561]]]}"
40,"[{classification=0, sum=0.0}, {classification=1, sum=224.0}, {classification=2, sum=4.0}, {classification=3, sum=678992.6235294056}, {classification=4, sum=30069.380392156858}, {classification=5, sum=26456.627450980403}, {classification=6, sum=1418.0470588235294}]",41,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.3763679793729],[22.725535247933585,57.3763679793729],[22.725535247933585,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.3763679793729]]]}"
41,"[{classification=0, sum=0.0}, {classification=1, sum=104.0}, {classification=2, sum=9.647058823529413}, {classification=3, sum=200910.90588235308}, {classification=4, sum=10678.949019607822}, {classification=5, sum=2914.7647058823527}, {classification=6, sum=1587.1058823529413}]",42,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.54763277731019],[22.725535247933585,57.54763277731019],[22.725535247933585,57.71889757524748],[22.140820165289057,57.71889757524748],[22.140820165289057,57.54763277731019]]]}"
42,"[{classification=0, sum=0.0}, {classification=1, sum=2.0}, {classification=3, sum=5908.917647058823}, {classification=4, sum=6120.909803921558}, {classification=5, sum=30.0}, {classification=6, sum=1781.8823529411766}]",43,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.71889757524748],[22.725535247933585,57.71889757524748],[22.725535247933585,57.89016237318477],[22.140820165289057,57.89016237318477],[22.140820165289057,57.71889757524748]]]}"
48,"[{classification=0, sum=0.0}, {classification=1, sum=25.0}, {classification=2, sum=2.0}, {classification=3, sum=135608.92941176487}, {classification=4, sum=1560.643137254902}, {classification=5, sum=270.70588235294116}, {classification=6, sum=636.0}]",49,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.17751439381187],[23.310250330578114,56.17751439381187],[23.310250330578114,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.17751439381187]]]}"
49,"[{classification=0, sum=0.0}, {classification=1, sum=367.4980392156863}, {classification=2, sum=42.0}, {classification=3, sum=1943434.69411764}, {classification=4, sum=28962.101960784308}, {classification=5, sum=17346.41176470588}, {classification=6, sum=9678.847058823529}]",50,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.34877919174916],[23.310250330578114,56.34877919174916],[23.310250330578114,56.52004398968645],[22.725535247933585,56.52004398968645],[22.725535247933585,56.34877919174916]]]}"
