system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=243.0}, {classification=2, sum=4.0}, {classification=3, sum=225299.81176470622}, {classification=4, sum=21657.662745097994}, {classification=5, sum=9740.0}, {classification=6, sum=1878.9882352941174}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=534.2509803921569}, {classification=2, sum=24.0}, {classification=3, sum=557206.6352941175}, {classification=4, sum=53046.63529411765}, {classification=5, sum=5375.0}, {classification=6, sum=5163.835294117647}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=280.0}, {classification=2, sum=26.0}, {classification=3, sum=656242.7999999986}, {classification=4, sum=212816.76862745106}, {classification=5, sum=5414.372549019608}, {classification=6, sum=29030.65882352941}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=244.0}, {classification=2, sum=74.0}, {classification=3, sum=1019571.9529411715}, {classification=4, sum=91705.61568627477}, {classification=5, sum=32987.450980392154}, {classification=6, sum=30728.470588235312}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=299.12549019607843}, {classification=2, sum=58.0}, {classification=3, sum=586398.1764705887}, {classification=4, sum=27963.058823529413}, {classification=5, sum=11247.666666666666}, {classification=6, sum=1113.7176470588236}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=60.0}, {classification=3, sum=170401.58823529427}, {classification=4, sum=4231.858823529414}, {classification=5, sum=8512.745098039215}, {classification=6, sum=803.5529411764707}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=251.0}, {classification=2, sum=4.0}, {classification=3, sum=167502.32941176466}, {classification=4, sum=2823.576470588237}, {classification=5, sum=1895.6274509803923}, {classification=6, sum=657.1058823529413}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=87.0}, {classification=3, sum=123588.32941176477}, {classification=4, sum=4191.811764705883}, {classification=5, sum=25286.254901960783}, {classification=6, sum=992.2823529411766}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=12323.752941176452}, {classification=4, sum=6177.2078431372565}, {classification=5, sum=386.2549019607843}, {classification=6, sum=6307.552941176472}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=4, sum=182.24313725490197}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
19,"[{classification=0, sum=0.0}, {classification=3, sum=129.0}, {classification=4, sum=36.0}]",20,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.34877919174916],[22.140820165289057,56.34877919174916],[22.140820165289057,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.34877919174916]]]}"
20,"[{classification=0, sum=0.0}, {classification=1, sum=4.745098039215686}, {classification=3, sum=47630.27058823532}, {classification=4, sum=9194.180392156863}, {classification=5, sum=177.50980392156862}, {classification=6, sum=300.0}]",21,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.52004398968645]]]}"
21,"[{classification=0, sum=0.0}, {classification=1, sum=343.37254901960785}, {classification=2, sum=76.0}, {classification=3, sum=1459877.658823524}, {classification=4, sum=53121.66274509808}, {classification=5, sum=3921.2352941176473}, {classification=6, sum=3063.0117647058823}]",22,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,56.69130878762374]]]}"
22,"[{classification=0, sum=0.0}, {classification=1, sum=399.74901960784314}, {classification=2, sum=56.0}, {classification=3, sum=1357547.964705868}, {classification=4, sum=51220.95686274511}, {classification=5, sum=23534.156862745098}, {classification=6, sum=6320.988235294117}]",23,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,56.86257358556103]]]}"
23,"[{classification=0, sum=0.0}, {classification=1, sum=179.0}, {classification=3, sum=542914.5294117647}, {classification=4, sum=88251.6549019608}, {classification=5, sum=26026.52941176468}, {classification=6, sum=2028.0}]",24,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.03383838349832]]]}"
24,"[{classification=0, sum=0.0}, {classification=1, sum=271.0}, {classification=2, sum=32.0}, {classification=3, sum=965622.2470588157}, {classification=4, sum=79795.20000000001}, {classification=5, sum=6831.196078431372}, {classification=6, sum=3580.4470588235295}]",25,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.20510318143561]]]}"
25,"[{classification=0, sum=0.0}, {classification=1, sum=156.24705882352941}, {classification=2, sum=26.0}, {classification=3, sum=473931.12941176514}, {classification=4, sum=50603.12156862757}, {classification=5, sum=10158.725490196079}, {classification=6, sum=17915.435294117648}]",26,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.54763277731019],[21.556105082644528,57.54763277731019],[21.556105082644528,57.3763679793729]]]}"
26,"[{classification=0, sum=0.0}, {classification=1, sum=32.74509803921569}, {classification=3, sum=48113.729411764696}, {classification=4, sum=6182.44705882353}, {classification=5, sum=1970.0}, {classification=6, sum=527.2941176470588}]",27,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.71889757524748],[21.556105082644528,57.71889757524748],[21.556105082644528,57.54763277731019]]]}"
34,[],35,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.34877919174916]]]}"
35,"[{classification=0, sum=0.0}, {classification=1, sum=200.0}, {classification=2, sum=22.0}, {classification=3, sum=796514.6705882354}, {classification=4, sum=67259.02745098039}, {classification=5, sum=9785.0}, {classification=6, sum=4695.035294117647}]",36,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.52004398968645],[22.725535247933585,56.52004398968645],[22.725535247933585,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.52004398968645]]]}"
36,"[{classification=0, sum=0.0}, {classification=1, sum=351.0}, {classification=2, sum=32.0}, {classification=3, sum=1557858.5411764716}, {classification=4, sum=29482.870588235295}, {classification=5, sum=35581.2156862745}, {classification=6, sum=4715.929411764706}]",37,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.69130878762374],[22.725535247933585,56.69130878762374],[22.725535247933585,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,56.69130878762374]]]}"
37,"[{classification=0, sum=0.0}, {classification=1, sum=375.0}, {classification=2, sum=38.0}, {classification=3, sum=1298436.5411764574}, {classification=4, sum=20758.133333333346}, {classification=5, sum=18679.98039215686}, {classification=6, sum=2081.9764705882353}]",38,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.86257358556103],[22.725535247933585,56.86257358556103],[22.725535247933585,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,56.86257358556103]]]}"
38,"[{classification=0, sum=0.0}, {classification=1, sum=415.5019607843137}, {classification=2, sum=42.0}, {classification=3, sum=903506.7529411722}, {classification=4, sum=214635.37254901955}, {classification=5, sum=6268.725490196079}, {classification=6, sum=3457.505882352941}]",39,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.03383838349832],[22.725535247933585,57.03383838349832],[22.725535247933585,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.03383838349832]]]}"
