system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=55.0}, {classification=2, sum=4.0}, {classification=3, sum=213504.8588235297}, {classification=4, sum=20339.325490196057}, {classification=5, sum=18435.0}, {classification=6, sum=389.62352941176476}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=220.79215686274512}, {classification=2, sum=30.0}, {classification=3, sum=742188.9647058812}, {classification=4, sum=43873.207843137265}, {classification=5, sum=29982.450980392157}, {classification=6, sum=1933.8823529411764}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=404.8705882352941}, {classification=2, sum=64.0}, {classification=3, sum=1322698.1294117593}, {classification=4, sum=202207.26274509812}, {classification=5, sum=9876.21568627451}, {classification=6, sum=64220.35294117647}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=448.0}, {classification=2, sum=86.0}, {classification=3, sum=1843714.4588235118}, {classification=4, sum=114778.77647058858}, {classification=5, sum=30259.37254901961}, {classification=6, sum=40602.42352941185}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=283.0}, {classification=2, sum=60.0}, {classification=3, sum=821091.5294117652}, {classification=4, sum=28116.815686274516}, {classification=5, sum=27954.39215686274}, {classification=6, sum=1750.635294117647}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=95.0}, {classification=2, sum=16.0}, {classification=3, sum=268537.6235294119}, {classification=4, sum=7610.933333333334}, {classification=5, sum=3156.7254901960787}, {classification=6, sum=1501.0823529411764}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=77.0}, {classification=2, sum=8.0}, {classification=3, sum=272362.4588235295}, {classification=4, sum=11219.26274509804}, {classification=5, sum=3287.4117647058824}, {classification=6, sum=2328.705882352941}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=37.0}, {classification=2, sum=12.0}, {classification=3, sum=195301.50588235306}, {classification=4, sum=7593.631372549022}, {classification=5, sum=30233.72549019608}, {classification=6, sum=1766.164705882353}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=11997.235294117621}, {classification=4, sum=9397.301960784302}, {classification=5, sum=281.2352941176471}, {classification=6, sum=5880.800000000002}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=28.372549019607842}, {classification=3, sum=147187.45882352954}, {classification=4, sum=438.55686274509804}, {classification=5, sum=963.7254901960785}, {classification=6, sum=25.50588235294118}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
19,"[{classification=0, sum=0.0}, {classification=1, sum=381.8705882352941}, {classification=2, sum=50.0}, {classification=3, sum=1243322.9294117612}, {classification=4, sum=35255.450980392154}, {classification=5, sum=22681.235294117647}, {classification=6, sum=3352.494117647059}]",20,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.34877919174916],[22.140820165289057,56.34877919174916],[22.140820165289057,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.34877919174916]]]}"
20,"[{classification=0, sum=0.0}, {classification=1, sum=473.99607843137255}, {classification=2, sum=64.0}, {classification=3, sum=1312056.7882352911}, {classification=4, sum=94512.10980392159}, {classification=5, sum=7828.078431372548}, {classification=6, sum=3588.0}]",21,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.52004398968645]]]}"
21,"[{classification=0, sum=0.0}, {classification=1, sum=618.9960784313726}, {classification=2, sum=66.0}, {classification=3, sum=1675808.1529411727}, {classification=4, sum=74591.51372549025}, {classification=5, sum=5643.705882352942}, {classification=6, sum=5429.247058823529}]",22,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,56.69130878762374]]]}"
22,"[{classification=0, sum=0.0}, {classification=1, sum=700.9960784313726}, {classification=2, sum=66.0}, {classification=3, sum=1469152.235294109}, {classification=4, sum=84668.76862745098}, {classification=5, sum=17007.941176470587}, {classification=6, sum=8361.717647058824}]",23,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,56.86257358556103]]]}"
23,"[{classification=0, sum=0.0}, {classification=1, sum=253.0}, {classification=2, sum=24.0}, {classification=3, sum=641949.094117647}, {classification=4, sum=103230.14901960787}, {classification=5, sum=13286.56862745096}, {classification=6, sum=4889.976470588235}]",24,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.03383838349832]]]}"
24,"[{classification=0, sum=0.0}, {classification=1, sum=334.0}, {classification=2, sum=38.0}, {classification=3, sum=990190.2235294039}, {classification=4, sum=95245.09803921574}, {classification=5, sum=10073.745098039217}, {classification=6, sum=8609.364705882354}]",25,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.20510318143561]]]}"
25,"[{classification=0, sum=0.0}, {classification=1, sum=194.74901960784314}, {classification=2, sum=46.0}, {classification=3, sum=476222.2352941182}, {classification=4, sum=57050.52549019604}, {classification=5, sum=5827.490196078432}, {classification=6, sum=30147.482352941184}]",26,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.54763277731019],[21.556105082644528,57.54763277731019],[21.556105082644528,57.3763679793729]]]}"
26,"[{classification=0, sum=0.0}, {classification=1, sum=11.0}, {classification=2, sum=4.0}, {classification=3, sum=39268.34117647059}, {classification=4, sum=9339.827450980392}, {classification=5, sum=1087.4705882352941}, {classification=6, sum=1830.141176470588}]",27,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.71889757524748],[21.556105082644528,57.71889757524748],[21.556105082644528,57.54763277731019]]]}"
34,"[{classification=0, sum=0.0}, {classification=1, sum=314.0}, {classification=2, sum=32.0}, {classification=3, sum=948949.8117647062}, {classification=4, sum=20332.360784313725}, {classification=5, sum=43030.72549019607}, {classification=6, sum=1937.2470588235294}]",35,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.34877919174916]]]}"
35,"[{classification=0, sum=0.0}, {classification=1, sum=475.0}, {classification=2, sum=68.0}, {classification=3, sum=1259235.211764697}, {classification=4, sum=102814.33725490193}, {classification=5, sum=29324.980392156867}, {classification=6, sum=11258.75294117647}]",36,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.52004398968645],[22.725535247933585,56.52004398968645],[22.725535247933585,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.52004398968645]]]}"
36,"[{classification=0, sum=0.0}, {classification=1, sum=413.0}, {classification=2, sum=52.0}, {classification=3, sum=1459299.2470588242}, {classification=4, sum=49667.419607843134}, {classification=5, sum=41131.21568627451}, {classification=6, sum=5415.15294117647}]",37,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.69130878762374],[22.725535247933585,56.69130878762374],[22.725535247933585,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,56.69130878762374]]]}"
37,"[{classification=0, sum=0.0}, {classification=1, sum=533.4980392156863}, {classification=2, sum=44.0}, {classification=3, sum=1279002.3411764572}, {classification=4, sum=30462.13333333335}, {classification=5, sum=16706.843137254902}, {classification=6, sum=2230.494117647059}]",38,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.86257358556103],[22.725535247933585,56.86257358556103],[22.725535247933585,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,56.86257358556103]]]}"
38,"[{classification=0, sum=0.0}, {classification=1, sum=448.4980392156863}, {classification=2, sum=28.0}, {classification=3, sum=936997.1529411724}, {classification=4, sum=226600.7529411764}, {classification=5, sum=10250.588235294119}, {classification=6, sum=20536.49411764706}]",39,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.03383838349832],[22.725535247933585,57.03383838349832],[22.725535247933585,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.03383838349832]]]}"
39,"[{classification=0, sum=0.0}, {classification=1, sum=429.5019607843137}, {classification=2, sum=38.0}, {classification=3, sum=1144999.4588235281}, {classification=4, sum=133194.05490196086}, {classification=5, sum=73972.45098039215}, {classification=6, sum=17133.011764705876}]",40,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.20510318143561],[22.725535247933585,57.20510318143561],[22.725535247933585,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.20510318143561]]]}"
40,"[{classification=0, sum=0.0}, {classification=1, sum=277.25098039215686}, {classification=2, sum=26.0}, {classification=3, sum=772541.4823529355}, {classification=4, sum=29643.2}, {classification=5, sum=18339.98039215686}, {classification=6, sum=1698.0}]",41,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.3763679793729],[22.725535247933585,57.3763679793729],[22.725535247933585,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.3763679793729]]]}"
