"","LAT","LONG","class","name"
"52",57.54257,22.63979,3,"intensive"
"53",57.43796,22.63272,3,"intensive"
"54",56.71396,22.38936,3,"intensive"
"55",56.69009,22.4479,3,"intensive"
"56",57.48457,22.71665,3,"intensive"
"57",56.62775,22.5268,3,"intensive"
"58",57.19265,22.71724,3,"intensive"
"59",57.22795,22.72941,3,"intensive"
"60",56.69525,22.58242,3,"intensive"
"61",57.23921,22.80072,3,"intensive"
"62",56.76273,22.63823,3,"intensive"
"63",57.04194,22.76638,3,"intensive"
"64",57.27129,22.84557,3,"intensive"
"65",56.38439,22.77625,3,"intensive"
"66",56.47262,22.80589,3,"intensive"
"67",56.5079,22.81779,3,"intensive"
"68",56.63139,22.85965,3,"intensive"
"69",56.68579,22.67888,3,"intensive"
"70",56.80935,22.72056,3,"intensive"
"71",56.84464,22.73252,3,"intensive"
"72",57.16222,22.8414,3,"intensive"
"73",57.25043,22.87206,3,"intensive"
"74",56.43552,22.62842,3,"intensive"
"75",56.62969,22.69323,3,"intensive"
"76",57.22959,22.8985,3,"intensive"
"77",56.7228,22.8576,3,"intensive"
"78",56.37943,22.6428,3,"intensive"
"79",56.45002,22.66625,3,"intensive"
"80",56.60886,22.71938,3,"intensive"
"81",56.66181,22.7372,3,"intensive"
"82",56.76768,22.77306,3,"intensive"
"83",56.82061,22.79106,3,"intensive"
"84",56.46451,22.70408,3,"intensive"
"85",56.58804,22.74553,3,"intensive"
"86",57.38181,23.01956,3,"intensive"
"87",56.47898,22.74195,3,"intensive"
"88",56.51427,22.75381,3,"intensive"
"89",56.54958,22.76567,3,"intensive"
"90",56.79659,22.84951,3,"intensive"
"91",57.27277,23.01489,3,"intensive"
"92",56.44051,22.76208,3,"intensive"
"93",56.59931,22.81561,3,"intensive"
"94",56.75808,22.86965,3,"intensive"
"95",56.811,22.88777,3,"intensive"
"96",57.28713,23.05374,3,"intensive"
"97",56.6811,22.90982,3,"intensive"
"98",56.62173,22.9559,3,"intensive"
"99",56.74516,22.99838,3,"intensive"
"100",56.81569,23.0228,3,"intensive"
"101",56.41649,22.82001,3,"intensive"
"102",56.734,22.92796,3,"intensive"
"103",56.378,22.84002,3,"intensive"
"104",56.69551,22.948,3,"intensive"
"105",56.76603,22.97229,3,"intensive"
"106",56.40686,22.91572,3,"intensive"
"107",56.44213,22.92769,3,"intensive"
"108",56.72429,23.02444,3,"intensive"
"109",56.75954,23.03666,3,"intensive"
"110",56.42127,22.95364,3,"intensive"
"111",56.50945,22.98371,3,"intensive"
"112",56.73866,23.06273,3,"intensive"
"113",56.7608,23.2037,3,"intensive"
"114",56.52059,23.05372,3,"intensive"
"115",56.60873,23.08416,3,"intensive"
"116",56.64399,23.09637,3,"intensive"
"117",56.76738,23.13933,3,"intensive"
"118",56.37629,23.03725,3,"intensive"
"119",56.41155,23.04932,3,"intensive"
"120",56.42919,23.05539,3,"intensive"
"121",56.46444,23.0675,3,"intensive"
"122",56.49969,23.07963,3,"intensive"
"123",56.78172,23.17768,3,"intensive"
"124",56.81697,23.19006,3,"intensive"
"125",56.85221,23.2025,3,"intensive"
"126",56.3554,23.06307,3,"intensive"
"127",56.4788,23.1055,3,"intensive"
"128",56.6022,23.14826,3,"intensive"
"129",56.41282,23.21485,3,"intensive"
"130",56.69472,23.31363,3,"intensive"
"131",56.72994,23.32608,3,"intensive"
"132",56.33452,23.08888,3,"intensive"
"133",56.49316,23.14354,3,"intensive"
"134",56.70464,23.21729,3,"intensive"
"135",56.81036,23.25451,3,"intensive"
"136",56.86322,23.27321,3,"intensive"
"137",56.34888,23.12676,3,"intensive"
"138",56.73657,23.26181,3,"intensive"
"139",56.39847,23.17687,3,"intensive"
"140",56.43373,23.18907,3,"intensive"
"141",56.46896,23.20131,3,"intensive"
"142",56.55708,23.23202,3,"intensive"
"143",56.62755,23.2567,3,"intensive"
"144",56.39189,23.2406,3,"intensive"
"145",56.48006,23.27395,3,"intensive"
"146",56.55046,23.29602,3,"intensive"
"147",56.60331,23.31461,3,"intensive"
"148",56.709,23.35197,3,"intensive"
"149",56.76184,23.37074,3,"intensive"
"150",56.79707,23.38331,3,"intensive"
"151",56.42051,23.31664,3,"intensive"
"152",56.45574,23.329,3,"intensive"
"153",56.68805,23.37783,3,"intensive"
"154",56.57904,23.37243,3,"intensive"
"155",56.61426,23.3849,3,"intensive"
"156",56.64949,23.39739,3,"intensive"
"157",56.4348,23.3547,3,"intensive"
"158",56.47003,23.3671,3,"intensive"
"159",56.50525,23.37951,3,"intensive"
"160",56.54048,23.39195,3,"intensive"
"161",56.59331,23.41067,3,"intensive"
"162",56.41385,23.38038,3,"intensive"
"163",56.44909,23.39279,3,"intensive"
"164",56.86489,23.60825,3,"intensive"
"165",56.73175,23.66062,3,"intensive"
"166",56.88984,23.71781,3,"intensive"
"167",56.6577,23.66649,3,"intensive"
"168",56.70708,23.71774,3,"intensive"
"169",56.92885,23.8663,3,"intensive"
"170",56.96055,23.91168,3,"intensive"
"171",56.82705,23.96241,3,"intensive"
"172",56.49708,23.80785,3,"intensive"
"173",56.52851,23.82085,3,"intensive"
"174",56.56605,23.83787,3,"intensive"
"175",56.35228,23.78793,3,"intensive"
"176",56.51051,23.84968,3,"intensive"
"177",56.89386,24.02095,3,"intensive"
"178",56.38398,23.83626,3,"intensive"
"179",56.41859,23.84509,3,"intensive"
"180",56.48989,23.87066,3,"intensive"
"181",56.53918,23.87684,3,"intensive"
"182",56.57857,23.90492,3,"intensive"
"183",56.46846,23.90423,3,"intensive"
"184",56.78491,24.01358,3,"intensive"
"185",56.77837,24.07777,3,"intensive"
"186",56.517775,23.9477,3,"intensive"
"187",56.55413,23.9608,3,"intensive"
"188",56.5877,23.97638,3,"intensive"
"189",56.44394,23.9537,3,"intensive"
"190",56.4791,23.96663,3,"intensive"
"191",56.53183,23.9861,3,"intensive"
"192",56.56699,23.99911,3,"intensive"
"193",56.30695,24.0356,3,"intensive"
"194",56.3421,24.04855,3,"intensive"
"195",56.37724,24.06153,3,"intensive"
"196",56.42288,23.97908,3,"intensive"
"197",56.51023,24.01026,3,"intensive"
"198",56.54593,24.02459,3,"intensive"
"199",56.58107,24.03761,3,"intensive"
"200",56.89737,24.15643,3,"intensive"
"201",56.3636,23.99189,3,"intensive"
"202",56.45455,24.02387,3,"intensive"
"203",56.52485,24.04995,3,"intensive"
"204",56.57405,24.1015,3,"intensive"
"205",56.28812,24.06039,3,"intensive"
"206",56.32102,24.07383,3,"intensive"
"207",56.76025,24.23835,3,"intensive"
"208",56.79538,24.25169,3,"intensive"
"209",57.07634,24.35962,3,"intensive"
"210",56.28938,24.1942,3,"intensive"
"211",56.76354,24.37337,3,"intensive"
"212",56.85168,24.40729,3,"intensive"
"213",56.29994,24.09904,3,"intensive"
"214",56.38762,24.13147,3,"intensive"
"215",56.54619,24.19408,3,"intensive"
"216",56.77425,24.27709,3,"intensive"
"217",56.32803,24.17554,3,"intensive"
"218",56.36319,24.18865,3,"intensive"
"219",56.52412,24.25148,3,"intensive"
"220",56.80223,24.35474,3,"intensive"
"221",56.37721,24.22697,3,"intensive"
"222",56.72841,24.35993,3,"intensive"
"223",56.32096,24.23902,3,"intensive"
"224",56.35609,24.25216,3,"intensive"
"225",56.39121,24.26533,3,"intensive"
"226",56.47903,24.29841,3,"intensive"
"227",56.70727,24.38524,3,"intensive"
"228",56.79506,24.41895,3,"intensive"
"229",56.45433,24.35544,3,"intensive"
"230",56.4132,24.40594,3,"intensive"
"231",56.42601,24.4442,3,"intensive"
"232",56.51378,24.47775,3,"intensive"
"233",56.58397,24.5047,3,"intensive"
"234",56.63661,24.52498,3,"intensive"
"235",56.91366,24.66651,3,"intensive"
"236",56.40486,24.46931,3,"intensive"
"237",56.36615,24.48769,3,"intensive"
"238",56.52408,24.54822,3,"intensive"
"239",56.76969,24.64352,3,"intensive"
"240",56.80476,24.65728,3,"intensive"
"241",56.53801,24.58686,3,"intensive"
"242",56.85374,24.71007,3,"intensive"
"243",56.55847,24.72802,3,"intensive"
"244",56.32383,24.53775,3,"intensive"
"245",56.35892,24.55116,3,"intensive"
"246",56.51845,24.61405,3,"intensive"
"247",56.60453,24.64596,3,"intensive"
"248",56.63962,24.65961,3,"intensive"
"249",56.76237,24.70766,3,"intensive"
"250",56.6184,24.68472,3,"intensive"
"251",56.80484,24.75421,3,"intensive"
"252",56.35166,24.61463,3,"intensive"
"253",56.50953,24.67565,3,"intensive"
"254",56.89529,24.82732,3,"intensive"
"255",56.37944,24.69163,3,"intensive"
"256",56.48098,24.76431,3,"intensive"
"257",56.7965,24.88877,3,"intensive"
"258",56.62765,24.92204,3,"intensive"
"259",56.79912,25.02401,3,"intensive"
"260",56.67276,25.00684,3,"intensive"
"261",56.65396,25.16652,3,"intensive"
"262",57.12653,25.36038,3,"intensive"
"263",56.75283,25.10599,3,"intensive"
"264",57.31299,25.3363,3,"intensive"
"265",56.34621,24.97707,3,"intensive"
"266",56.8191,25.1664,3,"intensive"
"267",56.85418,25.18066,3,"intensive"
"268",57.16919,25.31028,3,"intensive"
"269",57.44914,25.42777,3,"intensive"
"270",56.35999,25.01568,3,"intensive"
"271",56.76281,25.1771,3,"intensive"
"272",56.83302,25.2059,3,"intensive"
"273",56.88531,25.22715,3,"intensive"
"274",56.99037,25.27015,3,"intensive"
"275",57.20034,25.35722,3,"intensive"
"276",57.3928,25.43807,3,"intensive"
"277",56.89524,25.29846,3,"intensive"
"278",56.63879,25.29417,3,"intensive"
"279",56.24366,25.06906,3,"intensive"
"280",57.13633,25.4323,3,"intensive"
"281",56.29245,25.12149,3,"intensive"
