"","label","class","pixels","area","year"
"1",3,"1",80,2400,1989
"2",4,"1",371.498039215686,11144.9411764706,1989
"3",5,"1",906.996078431373,27209.8823529412,1989
"4",6,"1",1090.99607843137,32729.8823529412,1989
"5",7,"1",357.125490196078,10713.7647058824,1989
"6",8,"1",126.498039215686,3794.94117647059,1989
"7",9,"1",98,2940,1989
"8",10,"1",30,900,1989
"9",11,"1",4,120,1989
"10",19,"1",329,9870,1989
"11",20,"1",836,25080,1989
"12",21,"1",520,15600,1989
"13",22,"1",428.376470588235,12851.2941176471,1989
"14",23,"1",352.498039215686,10574.9411764706,1989
"15",24,"1",208,6240,1989
"16",25,"1",208,6240,1989
"17",26,"1",192,5760,1989
"18",27,"1",16,480,1989
"19",35,"1",297,8910,1989
"20",36,"1",513,15390,1989
"21",37,"1",278,8340,1989
"22",38,"1",399,11970,1989
"23",39,"1",385.498039215686,11564.9411764706,1989
"24",40,"1",215,6450,1989
"25",41,"1",176,5280,1989
"26",42,"1",94,2820,1989
"27",43,"1",4,120,1989
"28",49,"1",16,480,1989
"29",50,"1",350,10500,1989
"30",51,"1",272.498039215686,8174.94117647059,1989
"31",52,"1",315,9450,1989
"32",53,"1",262,7860,1989
"33",54,"1",274.749019607843,8242.47058823529,1989
"34",55,"1",229.803921568627,6894.11764705882,1989
"35",56,"1",24.5607843137255,736.823529411765,1989
"36",64,"1",5,150,1989
"37",65,"1",246.96862745098,7409.05882352941,1989
"38",66,"1",284,8520,1989
"39",67,"1",196.752941176471,5902.58823529412,1989
"40",68,"1",958.247058823529,28747.4117647059,1989
"41",69,"1",4,120,1989
"42",79,"1",445,13350,1989
"43",80,"1",644.250980392157,19327.5294117647,1989
"44",81,"1",553,16590,1989
"45",82,"1",430,12900,1989
"46",83,"1",404.623529411765,12138.7058823529,1989
"47",84,"1",122.372549019608,3671.17647058824,1989
"48",85,"1",60.4980392156863,1814.94117647059,1989
"49",86,"1",33.8745098039216,1016.23529411765,1989
"50",87,"1",23.8705882352941,716.117647058824,1989
"51",88,"1",51.0901960784314,1532.70588235294,1989
"52",89,"3",42,1260,1989
"53",94,"1",73,2190,1989
"54",95,"1",355.466666666667,10664,1989
"55",96,"1",500.592156862745,15017.7647058824,1989
"56",97,"1",565.125490196078,16953.7647058824,1989
"57",98,"1",412.250980392157,12367.5294117647,1989
"58",99,"1",340,10200,1989
"59",100,"1",392.749019607843,11782.4705882353,1989
"60",101,"1",414.749019607843,12442.4705882353,1989
"61",102,"1",316.376470588235,9491.29411764706,1989
"62",103,"1",250.121568627451,7503.64705882353,1989
"63",104,"1",98.6235294117647,2958.70588235294,1989
"64",108,"1",37.3098039215686,1119.29411764706,1989
"65",109,"1",518,15540,1989
"66",110,"1",297,8910,1989
"67",111,"1",449.874509803922,13496.2352941176,1989
"68",112,"1",620.125490196078,18603.7647058824,1989
"69",113,"1",779.623529411765,23388.7058823529,1989
"70",114,"1",310.372549019608,9311.17647058824,1989
"71",115,"1",369,11070,1989
"72",116,"1",503.250980392157,15097.5294117647,1989
"73",117,"1",667.372549019608,20021.1764705882,1989
"74",118,"1",872,26160,1989
"75",119,"1",894.125490196078,26823.7647058824,1989
"76",120,"1",4,120,1989
"77",121,"3",11.1764705882353,335.294117647059,1989
"78",122,"1",319,9570,1989
"79",123,"1",738,22140,1989
"80",124,"1",685.996078431373,20579.8823529412,1989
"81",125,"1",684,20520,1989
"82",126,"1",601.996078431373,18059.8823529412,1989
"83",127,"1",762.498039215686,22874.9411764706,1989
"84",128,"1",615,18450,1989
"85",129,"1",502,15060,1989
"86",130,"1",436.247058823529,13087.4117647059,1989
"87",131,"1",1152.50196078431,34575.0588235294,1989
"88",132,"1",387.011764705882,11610.3529411765,1989
"89",133,"1",564.137254901961,16924.1176470588,1989
"90",134,"1",20.6235294117647,618.705882352941,1989
"91",136,"1",458,13740,1989
"92",137,"1",776,23280,1989
"93",138,"1",1190.62352941176,35718.7058823529,1989
"94",139,"1",809.498039215686,24284.9411764706,1989
"95",140,"1",711.501960784314,21345.0588235294,1989
"96",141,"1",795.992156862745,23879.7647058824,1989
"97",142,"1",1593.2431372549,47797.2941176471,1989
"98",143,"1",1044.36862745098,31331.0588235294,1989
"99",144,"1",1595.11764705882,47853.5294117647,1989
"100",145,"1",746.498039215686,22394.9411764706,1989
"101",146,"1",575.623529411765,17268.7058823529,1989
"102",147,"1",685.450980392157,20563.5294117647,1989
"103",151,"1",141.874509803922,4256.23529411765,1989
"104",152,"1",866.749019607843,26002.4705882353,1989
"105",153,"1",860.874509803922,25826.2352941176,1989
"106",154,"1",648.247058823529,19447.4117647059,1989
"107",155,"1",734.380392156863,22031.4117647059,1989
"108",156,"1",1127.99607843137,33839.8823529412,1989
"109",157,"1",828.874509803922,24866.2352941176,1989
"110",158,"1",686.121568627451,20583.6470588235,1989
"111",159,"1",930.121568627451,27903.6470588235,1989
"112",160,"1",932.619607843137,27978.5882352941,1989
"113",161,"1",735.937254901961,22078.1176470588,1989
"114",162,"1",62.9333333333333,1888,1989
"115",166,"1",122.533333333333,3676,1989
"116",167,"1",499.117647058824,14973.5294117647,1989
"117",168,"1",691,20730,1989
"118",169,"1",469.494117647059,14084.8235294118,1989
"119",170,"1",626.490196078431,18794.7058823529,1989
"120",171,"1",784.498039215686,23534.9411764706,1989
"121",172,"1",605.592156862745,18167.7647058824,1989
"122",173,"1",367.466666666667,11024,1989
"123",174,"1",399,11970,1989
"124",175,"1",260,7800,1989
"125",176,"1",160,4800,1989
"126",183,"1",18,540,1989
"127",184,"1",164,4920,1989
"128",185,"1",148.529411764706,4455.88235294118,1989
"129",186,"1",66,1980,1989
"130",3,"2",10,300,1989
"131",4,"2",72,2160,1989
"132",5,"2",84,2520,1989
"133",6,"2",62,1860,1989
"134",7,"2",24,720,1989
"135",8,"2",8,240,1989
"136",9,"2",2,60,1989
"137",10,"2",2,60,1989
"138",11,"3",7314.31764705882,219429.529411765,1989
"139",19,"2",4,120,1989
"140",20,"2",61.0039215686274,1830.11764705882,1989
"141",21,"2",62,1860,1989
"142",22,"2",68,2040,1989
"143",23,"2",52,1560,1989
"144",24,"2",20,600,1989
"145",25,"2",42,1260,1989
"146",26,"2",38,1140,1989
"147",27,"2",10,300,1989
"148",35,"2",64,1920,1989
"149",36,"2",62,1860,1989
"150",37,"2",78,2340,1989
"151",38,"2",82,2460,1989
"152",39,"2",58,1740,1989
"153",40,"2",54,1620,1989
"154",41,"2",40,1200,1989
"155",42,"2",10,300,1989
"156",43,"3",9994.25882352938,299827.764705881,1989
"157",49,"3",140969.776470588,4229093.29411765,1989
"158",50,"2",104,3120,1989
"159",51,"2",80.2509803921569,2407.52941176471,1989
"160",52,"2",76,2280,1989
"161",53,"2",46,1380,1989
"162",54,"2",44,1320,1989
"163",55,"2",16,480,1989
"164",56,"2",4,120,1989
"165",64,"3",92151.6352941178,2764549.05882354,1989
"166",65,"2",144,4320,1989
"167",66,"2",187.749019607843,5632.47058823529,1989
"168",67,"2",36,1080,1989
"169",68,"2",64,1920,1989
"170",69,"2",2,60,1989
"171",79,"2",42,1260,1989
"172",80,"2",102,3060,1989
"173",81,"2",94,2820,1989
"174",82,"2",80,2400,1989
"175",83,"2",324,9720,1989
"176",84,"2",58,1740,1989
"177",85,"2",18,540,1989
"178",86,"2",2,60,1989
"179",87,"2",4,120,1989
"180",88,"2",24,720,1989
"181",94,"2",8,240,1989
"182",95,"2",62,1860,1989
"183",96,"2",58.2509803921569,1747.52941176471,1989
"184",97,"2",62,1860,1989
"185",98,"2",56,1680,1989
"186",99,"2",104,3120,1989
"187",100,"2",40,1200,1989
"188",101,"2",66,1980,1989
"189",102,"2",66,1980,1989
"190",103,"2",66,1980,1989
"191",104,"2",16,480,1989
"192",108,"3",156217.211764706,4686516.35294118,1989
"193",109,"2",58,1740,1989
"194",110,"2",34,1020,1989
"195",111,"2",47.7490196078431,1432.47058823529,1989
"196",112,"2",38,1140,1989
"197",113,"2",42,1260,1989
"198",114,"2",72,2160,1989
"199",115,"2",76,2280,1989
"200",116,"2",98,2940,1989
"201",117,"2",56,1680,1989
"202",118,"2",76,2280,1989
"203",119,"2",56,1680,1989
"204",120,"3",12189.9882352941,365699.647058823,1989
"205",122,"2",20,600,1989
"206",123,"2",68,2040,1989
"207",124,"2",28,840,1989
"208",125,"2",28,840,1989
"209",126,"2",60,1800,1989
"210",127,"2",38,1140,1989
"211",128,"2",100,3000,1989
"212",129,"2",68,2040,1989
"213",130,"2",70,2100,1989
"214",131,"2",64,1920,1989
"215",132,"2",76.9960784313726,2309.88235294118,1989
"216",133,"2",54,1620,1989
"217",134,"3",29662.6588235295,889879.764705886,1989
"218",136,"2",56,1680,1989
"219",137,"2",70,2100,1989
"220",138,"2",52,1560,1989
"221",139,"2",115.003921568627,3450.11764705882,1989
"222",140,"2",152.996078431373,4589.88235294118,1989
"223",141,"2",258.494117647059,7754.82352941176,1989
"224",142,"2",51.4901960784314,1544.70588235294,1989
"225",143,"2",40,1200,1989
"226",144,"2",30,900,1989
"227",145,"2",32,960,1989
"228",146,"2",56,1680,1989
"229",147,"2",10.9960784313725,329.882352941176,1989
"230",151,"2",8,240,1989
"231",152,"2",60,1800,1989
"232",153,"2",78,2340,1989
"233",154,"2",56,1680,1989
"234",155,"2",100,3000,1989
"235",156,"2",80,2400,1989
"236",157,"2",86,2580,1989
"237",158,"2",72.5019607843137,2175.05882352941,1989
"238",159,"2",69.4980392156863,2084.94117647059,1989
"239",160,"2",72,2160,1989
"240",161,"2",62,1860,1989
"241",162,"2",8,240,1989
"242",166,"2",24,720,1989
"243",167,"2",44,1320,1989
"244",168,"2",36,1080,1989
"245",169,"2",50,1500,1989
"246",170,"2",136,4080,1989
"247",171,"2",194,5820,1989
"248",172,"2",70,2100,1989
"249",173,"2",70,2100,1989
"250",174,"2",40,1200,1989
"251",175,"2",12,360,1989
"252",176,"2",8,240,1989
"253",183,"2",4,120,1989
"254",184,"2",16,480,1989
"255",185,"2",10,300,1989
"256",186,"2",18,540,1989
"257",3,"3",336489.658823526,10094689.7647058,1989
"258",4,"3",1112669.95294117,33380098.5882352,1989
"259",5,"3",1746525.6235294,52395768.7058821,1989
"260",6,"3",2254599.52941175,67637985.8823526,1989
"261",7,"3",984992.129411765,29549763.882353,1989
"262",8,"3",320530.635294118,9615919.05882353,1989
"263",9,"3",366862.729411763,11005881.8823529,1989
"264",10,"3",312913.047058824,9387391.41176471,1989
"265",19,"3",191658.65882353,5749759.76470589,1989
"266",20,"3",1586988.29411764,47609648.8235293,1989
"267",21,"3",1489012.85882352,44670385.7647056,1989
"268",22,"3",1958858.31764705,58765749.5294116,1989
"269",23,"3",1636167.83529411,49085035.0588232,1989
"270",24,"3",697101.117647059,20913033.5294118,1989
"271",25,"3",1244242.04705881,37327261.4117644,1989
"272",26,"3",604436.635294119,18133099.0588236,1989
"273",27,"3",84772.1176470588,2543163.52941177,1989
"274",35,"3",1311867.58823529,39356027.6470587,1989
"275",36,"3",1517366.24705882,45520987.4117645,1989
"276",37,"3",1742210.18823529,52266305.6470588,1989
"277",38,"3",1579405.97647058,47382179.2941173,1989
"278",39,"3",1105097.35294117,33152920.5882351,1989
"279",40,"3",1442831.4117647,43284942.3529411,1989
"280",41,"3",936519.105882359,28095573.1764708,1989
"281",42,"3",356781.023529412,10703430.7058824,1989
"282",50,"3",2195385.11764705,65861553.5294115,1989
"283",51,"3",1767264.55294117,53017936.588235,1989
"284",52,"3",2181465.94117648,65443978.2352943,1989
"285",53,"3",2031757.84705882,60952735.4117645,1989
