system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=157.99607843137255}, {classification=2, sum=12.0}, {classification=3, sum=279132.52941176447}, {classification=4, sum=27397.145098039182}, {classification=5, sum=17251.254901960787}, {classification=6, sum=1423.6941176470593}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=966.1764705882354}, {classification=2, sum=22.0}, {classification=3, sum=1048758.2705882324}, {classification=4, sum=90033.44313725483}, {classification=5, sum=10942.098039215687}, {classification=6, sum=11422.75294117647}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=1518.7450980392157}, {classification=2, sum=34.0}, {classification=3, sum=1692997.6352941114}, {classification=4, sum=291345.8980392157}, {classification=5, sum=7699.9607843137255}, {classification=6, sum=48567.41176470589}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=519.1176470588235}, {classification=2, sum=90.0}, {classification=3, sum=2291967.0470588123}, {classification=4, sum=138916.21960784367}, {classification=5, sum=29708.352941176476}, {classification=6, sum=54899.317647058866}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=275.5019607843137}, {classification=2, sum=38.0}, {classification=3, sum=1089369.9294117617}, {classification=4, sum=134477.74117647062}, {classification=5, sum=11433.117647058823}, {classification=6, sum=10409.95294117647}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=138.0}, {classification=2, sum=8.0}, {classification=3, sum=333066.2000000001}, {classification=4, sum=102196.01568627448}, {classification=5, sum=8843.64705882353}, {classification=6, sum=5045.599999999999}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=68.0}, {classification=2, sum=8.0}, {classification=3, sum=311972.5058823529}, {classification=4, sum=41895.717647058715}, {classification=5, sum=4834.843137254902}, {classification=6, sum=1489.105882352941}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=53.0}, {classification=2, sum=16.0}, {classification=3, sum=277960.4235294119}, {classification=4, sum=35974.729411764594}, {classification=5, sum=28366.86274509804}, {classification=6, sum=3617.882352941177}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=1, sum=4.0}, {classification=2, sum=8.0}, {classification=3, sum=8887.694117647052}, {classification=4, sum=13094.337254901944}, {classification=5, sum=263.72549019607845}, {classification=6, sum=8899.388235294113}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=155.12156862745098}, {classification=2, sum=8.0}, {classification=3, sum=200894.27058823558}, {classification=4, sum=1037.6313725490197}, {classification=5, sum=199.4313725490196}, {classification=6, sum=1892.964705882353}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
19,"[{classification=0, sum=0.0}, {classification=1, sum=1126.6196078431371}, {classification=2, sum=48.0}, {classification=3, sum=1655334.4588235235}, {classification=4, sum=59957.78823529412}, {classification=5, sum=4347.509803921568}, {classification=6, sum=13820.941176470587}]",20,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.34877919174916],[22.140820165289057,56.34877919174916],[22.140820165289057,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.34877919174916]]]}"
20,"[{classification=0, sum=0.0}, {classification=1, sum=1055.4941176470588}, {classification=2, sum=44.0}, {classification=3, sum=1431927.8705882276}, {classification=4, sum=133099.7803921569}, {classification=5, sum=5219.980392156863}, {classification=6, sum=12825.647058823528}]",21,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.52004398968645]]]}"
21,"[{classification=0, sum=0.0}, {classification=1, sum=841.0}, {classification=2, sum=57.498039215686276}, {classification=3, sum=1759892.870588231}, {classification=4, sum=123292.61176470594}, {classification=5, sum=7387.509803921568}, {classification=6, sum=22548.682352941178}]",22,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,56.69130878762374]]]}"
22,"[{classification=0, sum=0.0}, {classification=1, sum=478.0}, {classification=2, sum=64.50196078431372}, {classification=3, sum=1617192.9058823436}, {classification=4, sum=107664.07843137255}, {classification=5, sum=10589.686274509804}, {classification=6, sum=19661.24705882353}]",23,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,56.86257358556103]]]}"
23,"[{classification=0, sum=0.0}, {classification=1, sum=336.0}, {classification=2, sum=28.0}, {classification=3, sum=652624.2235294112}, {classification=4, sum=186211.98431372555}, {classification=5, sum=13267.019607843136}, {classification=6, sum=2724.6823529411768}]",24,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.03383838349832]]]}"
24,"[{classification=0, sum=0.0}, {classification=1, sum=470.74901960784314}, {classification=2, sum=90.0}, {classification=3, sum=1158015.2352941094}, {classification=4, sum=172628.2039215686}, {classification=5, sum=6856.862745098039}, {classification=6, sum=9581.764705882353}]",25,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.20510318143561]]]}"
25,"[{classification=0, sum=0.0}, {classification=1, sum=304.0}, {classification=2, sum=110.0}, {classification=3, sum=587786.0588235294}, {classification=4, sum=157414.85490196105}, {classification=5, sum=7156.235294117647}, {classification=6, sum=45429.88235294126}]",26,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.54763277731019],[21.556105082644528,57.54763277731019],[21.556105082644528,57.3763679793729]]]}"
