system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=99.23921568627452}, {classification=2, sum=12.0}, {classification=3, sum=275208.82352941146}, {classification=4, sum=20697.992156862703}, {classification=5, sum=10827.64705882353}, {classification=6, sum=886.1176470588235}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=335.12549019607843}, {classification=2, sum=34.0}, {classification=3, sum=977562.8235294095}, {classification=4, sum=65546.44705882353}, {classification=5, sum=5230.0}, {classification=6, sum=2857.199999999999}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=641.0}, {classification=2, sum=60.0}, {classification=3, sum=1607783.3529411692}, {classification=4, sum=243732.25098039221}, {classification=5, sum=4632.490196078432}, {classification=6, sum=41075.129411764705}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=682.0}, {classification=2, sum=116.0}, {classification=3, sum=2075885.0117646907}, {classification=4, sum=137573.2235294123}, {classification=5, sum=18623.117647058825}, {classification=6, sum=50206.40000000005}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=207.0}, {classification=2, sum=42.0}, {classification=3, sum=865425.8117647065}, {classification=4, sum=33573.83529411764}, {classification=5, sum=21426.25490196078}, {classification=6, sum=3098.3529411764707}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=52.12549019607843}, {classification=2, sum=4.0}, {classification=3, sum=177380.85882352956}, {classification=4, sum=9410.933333333334}, {classification=5, sum=8584.196078431372}, {classification=6, sum=1670.8000000000002}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=34.0}, {classification=3, sum=150738.7294117647}, {classification=4, sum=4847.3411764705825}, {classification=5, sum=2076.156862745098}, {classification=6, sum=615.3647058823531}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=19.12549019607843}, {classification=2, sum=8.0}, {classification=3, sum=157590.81176470596}, {classification=4, sum=6904.501960784311}, {classification=5, sum=32668.70588235294}, {classification=6, sum=1304.5176470588235}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=9839.247058823516}, {classification=4, sum=9582.917647058812}, {classification=5, sum=205.62745098039215}, {classification=6, sum=7551.247058823532}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=74.0}, {classification=2, sum=12.0}, {classification=3, sum=163828.61176470615}, {classification=4, sum=316.0}, {classification=5, sum=55.0}, {classification=6, sum=126.0}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
19,"[{classification=0, sum=0.0}, {classification=1, sum=583.1490196078431}, {classification=2, sum=34.0}, {classification=3, sum=1310074.7176470524}, {classification=4, sum=33566.792156862735}, {classification=5, sum=8775.0}, {classification=6, sum=6348.0}]",20,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.34877919174916],[22.140820165289057,56.34877919174916],[22.140820165289057,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.34877919174916]]]}"
20,"[{classification=0, sum=0.0}, {classification=1, sum=652.5019607843137}, {classification=2, sum=30.0}, {classification=3, sum=1191802.7999999933}, {classification=4, sum=81098.0549019608}, {classification=5, sum=4625.0}, {classification=6, sum=4161.7411764705885}]",21,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.52004398968645]]]}"
