system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=119.0}, {classification=2, sum=10.0}, {classification=3, sum=298815.83529411576}, {classification=4, sum=23034.87058823526}, {classification=5, sum=21687.352941176472}, {classification=6, sum=1168.4941176470588}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=481.21568627450984}, {classification=2, sum=36.0}, {classification=3, sum=919171.3529411748}, {classification=4, sum=62553.55294117647}, {classification=5, sum=17584.627450980388}, {classification=6, sum=5479.223529411764}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=836.5019607843137}, {classification=2, sum=62.0}, {classification=3, sum=1569883.2705882278}, {classification=4, sum=216428.4549019609}, {classification=5, sum=8362.490196078432}, {classification=6, sum=105652.30588235291}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=868.1529411764706}, {classification=2, sum=74.0}, {classification=3, sum=1677595.1764705665}, {classification=4, sum=159968.8000000005}, {classification=5, sum=14819.333333333332}, {classification=6, sum=39393.38823529419}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=357.121568627451}, {classification=2, sum=18.0}, {classification=3, sum=734360.8705882358}, {classification=4, sum=54406.8549019608}, {classification=5, sum=28930.607843137248}, {classification=6, sum=3136.494117647059}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=105.25098039215686}, {classification=2, sum=16.0}, {classification=3, sum=204608.50588235306}, {classification=4, sum=24559.733333333315}, {classification=5, sum=8717.490196078432}, {classification=6, sum=2121.6941176470586}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=167.74901960784314}, {classification=2, sum=8.0}, {classification=3, sum=292494.8352941177}, {classification=4, sum=12349.23921568628}, {classification=5, sum=7051.843137254902}, {classification=6, sum=2176.6352941176474}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=54.12549019607843}, {classification=2, sum=30.0}, {classification=3, sum=231337.81176470596}, {classification=4, sum=8688.705882352939}, {classification=5, sum=25429.313725490196}, {classification=6, sum=2579.9058823529413}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=9844.74117647057}, {classification=4, sum=11720.596078431356}, {classification=5, sum=67.47058823529412}, {classification=6, sum=8045.952941176475}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=78.25098039215686}, {classification=3, sum=167795.7647058826}, {classification=4, sum=1290.2745098039218}, {classification=5, sum=887.4901960784314}, {classification=6, sum=480.0}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
19,"[{classification=0, sum=0.0}, {classification=1, sum=485.4980392156863}, {classification=2, sum=38.0}, {classification=3, sum=1457609.8235294046}, {classification=4, sum=40619.40392156862}, {classification=5, sum=13768.745098039215}, {classification=6, sum=4266.752941176471}]",20,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.34877919174916],[22.140820165289057,56.34877919174916],[22.140820165289057,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.34877919174916]]]}"
20,"[{classification=0, sum=0.0}, {classification=1, sum=470.0}, {classification=2, sum=40.0}, {classification=3, sum=1170228.4235294026}, {classification=4, sum=88673.11372549021}, {classification=5, sum=16054.941176470587}, {classification=6, sum=5048.235294117647}]",21,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.52004398968645]]]}"
21,"[{classification=0, sum=0.0}, {classification=1, sum=394.87450980392157}, {classification=2, sum=22.0}, {classification=3, sum=1203038.82352941}, {classification=4, sum=61951.26274509808}, {classification=5, sum=29917.196078431378}, {classification=6, sum=4005.0117647058823}]",22,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,56.69130878762374]]]}"
22,"[{classification=0, sum=0.0}, {classification=1, sum=372.25098039215686}, {classification=2, sum=28.0}, {classification=3, sum=873100.3058823494}, {classification=4, sum=68352.79999999999}, {classification=5, sum=44952.235294117636}, {classification=6, sum=6446.988235294118}]",23,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,56.86257358556103]]]}"
23,"[{classification=0, sum=0.0}, {classification=1, sum=187.0}, {classification=2, sum=10.0}, {classification=3, sum=345748.6470588238}, {classification=4, sum=86571.63921568629}, {classification=5, sum=29317.588235294083}, {classification=6, sum=1089.0117647058823}]",24,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.03383838349832]]]}"
24,"[{classification=0, sum=0.0}, {classification=1, sum=330.37254901960785}, {classification=2, sum=30.0}, {classification=3, sum=724404.2352941171}, {classification=4, sum=86130.19607843136}, {classification=5, sum=20938.274509803923}, {classification=6, sum=4759.435294117647}]",25,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.20510318143561]]]}"
25,"[{classification=0, sum=0.0}, {classification=1, sum=231.74901960784314}, {classification=2, sum=44.0}, {classification=3, sum=342154.8352941178}, {classification=4, sum=71993.69411764716}, {classification=5, sum=10676.078431372547}, {classification=6, sum=35092.070588235336}]",26,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.54763277731019],[21.556105082644528,57.54763277731019],[21.556105082644528,57.3763679793729]]]}"
26,"[{classification=0, sum=0.0}, {classification=1, sum=12.0}, {classification=3, sum=28132.8705882353}, {classification=4, sum=6620.83137254902}, {classification=5, sum=1486.4705882352941}, {classification=6, sum=1305.7882352941174}]",27,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.71889757524748],[21.556105082644528,57.71889757524748],[21.556105082644528,57.54763277731019]]]}"
34,"[{classification=0, sum=0.0}, {classification=1, sum=211.99607843137255}, {classification=2, sum=28.0}, {classification=3, sum=1140413.952941175}, {classification=4, sum=18842.35294117647}, {classification=5, sum=34593.450980392154}, {classification=6, sum=3366.0}]",35,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.34877919174916]]]}"
35,"[{classification=0, sum=0.0}, {classification=1, sum=323.2470588235294}, {classification=2, sum=66.0}, {classification=3, sum=1201570.1999999913}, {classification=4, sum=87793.17647058824}, {classification=5, sum=61035.45098039215}, {classification=6, sum=10290.04705882353}]",36,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.52004398968645],[22.725535247933585,56.52004398968645],[22.725535247933585,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.52004398968645]]]}"
36,"[{classification=0, sum=0.0}, {classification=1, sum=307.4980392156863}, {classification=2, sum=28.0}, {classification=3, sum=1104891.6352941184}, {classification=4, sum=36549.11372549019}, {classification=5, sum=73658.13725490194}, {classification=6, sum=5099.952941176471}]",37,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.69130878762374],[22.725535247933585,56.69130878762374],[22.725535247933585,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,56.69130878762374]]]}"
37,"[{classification=0, sum=0.0}, {classification=1, sum=436.0}, {classification=2, sum=16.0}, {classification=3, sum=922167.3882352905}, {classification=4, sum=31873.615686274516}, {classification=5, sum=57169.901960784315}, {classification=6, sum=1962.0}]",38,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.86257358556103],[22.725535247933585,56.86257358556103],[22.725535247933585,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,56.86257358556103]]]}"
38,"[{classification=0, sum=0.0}, {classification=1, sum=366.25098039215686}, {classification=2, sum=18.0}, {classification=3, sum=641008.8705882325}, {classification=4, sum=220125.33333333328}, {classification=5, sum=45786.137254901965}, {classification=6, sum=3362.964705882353}]",39,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.03383838349832],[22.725535247933585,57.03383838349832],[22.725535247933585,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.03383838349832]]]}"
39,"[{classification=0, sum=0.0}, {classification=1, sum=386.0}, {classification=2, sum=32.0}, {classification=3, sum=924727.7411764694}, {classification=4, sum=125218.4627450981}, {classification=5, sum=81204.13725490196}, {classification=6, sum=16218.0}]",40,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.20510318143561],[22.725535247933585,57.20510318143561],[22.725535247933585,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.20510318143561]]]}"
40,"[{classification=0, sum=0.0}, {classification=1, sum=378.25098039215686}, {classification=2, sum=16.0}, {classification=3, sum=568984.929411759}, {classification=4, sum=34864.53333333334}, {classification=5, sum=23405.43137254902}, {classification=6, sum=1928.235294117647}]",41,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.3763679793729],[22.725535247933585,57.3763679793729],[22.725535247933585,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.3763679793729]]]}"
41,"[{classification=0, sum=0.0}, {classification=1, sum=140.0}, {classification=2, sum=6.996078431372549}, {classification=3, sum=186891.2000000001}, {classification=4, sum=22858.745098039184}, {classification=5, sum=5495.137254901962}, {classification=6, sum=2796.447058823529}]",42,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.54763277731019],[22.725535247933585,57.54763277731019],[22.725535247933585,57.71889757524748],[22.140820165289057,57.71889757524748],[22.140820165289057,57.54763277731019]]]}"
42,"[{classification=0, sum=0.0}, {classification=1, sum=304.0}, {classification=3, sum=6578.117647058813}, {classification=4, sum=5665.882352941167}, {classification=5, sum=70.62745098039215}, {classification=6, sum=1706.1882352941182}]",43,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.71889757524748],[22.725535247933585,57.71889757524748],[22.725535247933585,57.89016237318477],[22.140820165289057,57.89016237318477],[22.140820165289057,57.71889757524748]]]}"
48,"[{classification=0, sum=0.0}, {classification=1, sum=4.0}, {classification=2, sum=17.027450980392157}, {classification=3, sum=108142.1294117648}, {classification=4, sum=2124.2509803921566}, {classification=5, sum=675.0}, {classification=6, sum=927.0117647058823}]",49,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.17751439381187],[23.310250330578114,56.17751439381187],[23.310250330578114,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.17751439381187]]]}"
49,"[{classification=0, sum=0.0}, {classification=1, sum=380.0}, {classification=2, sum=102.0}, {classification=3, sum=1520133.6470588162}, {classification=4, sum=33458.85490196078}, {classification=5, sum=24234.019607843136}, {classification=6, sum=6269.764705882353}]",50,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.34877919174916],[23.310250330578114,56.34877919174916],[23.310250330578114,56.52004398968645],[22.725535247933585,56.52004398968645],[22.725535247933585,56.34877919174916]]]}"
50,"[{classification=0, sum=0.0}, {classification=1, sum=374.0}, {classification=2, sum=32.0}, {classification=3, sum=1181653.9882352827}, {classification=4, sum=96200.42352941177}, {classification=5, sum=111577.21568627455}, {classification=6, sum=6287.976470588235}]",51,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.52004398968645],[23.310250330578114,56.52004398968645],[23.310250330578114,56.69130878762374],[22.725535247933585,56.69130878762374],[22.725535247933585,56.52004398968645]]]}"
51,"[{classification=0, sum=0.0}, {classification=1, sum=485.0}, {classification=2, sum=32.0}, {classification=3, sum=1011474.5411764713}, {classification=4, sum=32615.92156862745}, {classification=5, sum=109738.33333333333}, {classification=6, sum=4710.0}]",52,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.69130878762374],[23.310250330578114,56.69130878762374],[23.310250330578114,56.86257358556103],[22.725535247933585,56.86257358556103],[22.725535247933585,56.69130878762374]]]}"
