system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=65.62352941176471}, {classification=2, sum=8.0}, {classification=3, sum=129462.03529411781}, {classification=4, sum=19429.741176470558}, {classification=5, sum=18126.56862745098}, {classification=6, sum=1067.3882352941177}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=345.0}, {classification=2, sum=10.0}, {classification=3, sum=473287.7882352943}, {classification=4, sum=62067.45098039216}, {classification=5, sum=11068.725490196079}, {classification=6, sum=3501.3882352941177}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=409.0}, {classification=2, sum=38.0}, {classification=3, sum=907112.835294118}, {classification=4, sum=174637.3176470589}, {classification=5, sum=9134.980392156862}, {classification=6, sum=118673.78823529412}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=338.0}, {classification=2, sum=60.0}, {classification=3, sum=1389450.7999999954}, {classification=4, sum=114999.21568627482}, {classification=5, sum=23592.45098039216}, {classification=6, sum=51011.811764706064}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=264.87450980392157}, {classification=2, sum=12.0}, {classification=3, sum=494338.3294117652}, {classification=4, sum=27097.474509803928}, {classification=5, sum=20839.37254901961}, {classification=6, sum=1892.3529411764707}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=45.0}, {classification=2, sum=20.0}, {classification=3, sum=188114.4000000001}, {classification=4, sum=12125.254901960776}, {classification=5, sum=5476.254901960785}, {classification=6, sum=2729.035294117647}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=47.0}, {classification=2, sum=12.0}, {classification=3, sum=171693.62352941174}, {classification=4, sum=4241.349019607844}, {classification=5, sum=1730.5882352941176}, {classification=6, sum=1463.6235294117646}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=14.0}, {classification=2, sum=2.0}, {classification=3, sum=151735.67058823537}, {classification=4, sum=6698.58823529412}, {classification=5, sum=27145.607843137255}, {classification=6, sum=2160.8705882352942}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=2, sum=4.0}, {classification=3, sum=9472.788235294107}, {classification=4, sum=7627.356862745101}, {classification=5, sum=250.62745098039215}, {classification=6, sum=10498.376470588228}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=93.32549019607843}, {classification=2, sum=4.0}, {classification=3, sum=123844.77647058843}, {classification=4, sum=6116.470588235294}, {classification=5, sum=864.6862745098039}, {classification=6, sum=1014.0470588235294}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
19,"[{classification=0, sum=0.0}, {classification=1, sum=682.6235294117647}, {classification=2, sum=34.0}, {classification=3, sum=1077900.3999999992}, {classification=4, sum=55364.90980392157}, {classification=5, sum=21386.19607843137}, {classification=6, sum=9569.223529411765}]",20,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.34877919174916],[22.140820165289057,56.34877919174916],[22.140820165289057,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.34877919174916]]]}"
20,"[{classification=0, sum=0.0}, {classification=1, sum=608.4980392156863}, {classification=2, sum=18.0}, {classification=3, sum=904530.2823529365}, {classification=4, sum=148275.68627450988}, {classification=5, sum=11152.470588235294}, {classification=6, sum=4203.717647058824}]",21,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.52004398968645]]]}"
21,"[{classification=0, sum=0.0}, {classification=1, sum=912.4980392156863}, {classification=2, sum=40.0}, {classification=3, sum=1315821.8823529382}, {classification=4, sum=134032.0784313726}, {classification=5, sum=10671.843137254902}, {classification=6, sum=16722.729411764703}]",22,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,56.69130878762374]]]}"
22,"[{classification=0, sum=0.0}, {classification=1, sum=425.5019607843137}, {classification=2, sum=54.0}, {classification=3, sum=1133171.5764705853}, {classification=4, sum=83232.39215686274}, {classification=5, sum=20420.470588235294}, {classification=6, sum=11633.976470588237}]",23,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,56.86257358556103]]]}"
23,"[{classification=0, sum=0.0}, {classification=1, sum=148.0}, {classification=2, sum=20.0}, {classification=3, sum=350916.1529411768}, {classification=4, sum=119040.47058823536}, {classification=5, sum=19370.352941176454}, {classification=6, sum=4082.9176470588236}]",24,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.03383838349832]]]}"
24,"[{classification=0, sum=0.0}, {classification=1, sum=145.0}, {classification=2, sum=32.0}, {classification=3, sum=681795.129411765}, {classification=4, sum=94081.09803921569}, {classification=5, sum=12934.980392156864}, {classification=6, sum=8447.152941176471}]",25,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.20510318143561]]]}"
25,"[{classification=0, sum=0.0}, {classification=1, sum=106.0}, {classification=2, sum=30.0}, {classification=3, sum=285802.0588235295}, {classification=4, sum=43626.3843137255}, {classification=5, sum=11514.372549019608}, {classification=6, sum=58897.670588235356}]",26,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.54763277731019],[21.556105082644528,57.54763277731019],[21.556105082644528,57.3763679793729]]]}"
26,"[{classification=0, sum=0.0}, {classification=1, sum=6.0}, {classification=2, sum=4.0}, {classification=3, sum=32276.18823529412}, {classification=4, sum=6090.541176470588}, {classification=5, sum=2260.686274509804}, {classification=6, sum=1335.5058823529414}]",27,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.71889757524748],[21.556105082644528,57.71889757524748],[21.556105082644528,57.54763277731019]]]}"
34,"[{classification=0, sum=0.0}, {classification=1, sum=263.0}, {classification=2, sum=14.0}, {classification=3, sum=963327.0352941181}, {classification=4, sum=28963.419607843134}, {classification=5, sum=31198.686274509804}, {classification=6, sum=3927.0117647058823}]",35,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.34877919174916]]]}"
35,"[{classification=0, sum=0.0}, {classification=1, sum=463.4980392156863}, {classification=2, sum=54.0}, {classification=3, sum=1124194.5529411705}, {classification=4, sum=121682.8705882353}, {classification=5, sum=36204.882352941175}, {classification=6, sum=16189.29411764706}]",36,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.52004398968645],[22.725535247933585,56.52004398968645],[22.725535247933585,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.52004398968645]]]}"
36,"[{classification=0, sum=0.0}, {classification=1, sum=393.4980392156863}, {classification=2, sum=84.0}, {classification=3, sum=1298837.0352941183}, {classification=4, sum=58534.80784313722}, {classification=5, sum=38089.98039215686}, {classification=6, sum=11266.70588235294}]",37,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.69130878762374],[22.725535247933585,56.69130878762374],[22.725535247933585,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,56.69130878762374]]]}"
37,"[{classification=0, sum=0.0}, {classification=1, sum=414.5019607843137}, {classification=2, sum=22.0}, {classification=3, sum=1029130.1294117552}, {classification=4, sum=31326.996078431388}, {classification=5, sum=18148.098039215685}, {classification=6, sum=4780.494117647058}]",38,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.86257358556103],[22.725535247933585,56.86257358556103],[22.725535247933585,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,56.86257358556103]]]}"
38,"[{classification=0, sum=0.0}, {classification=1, sum=295.7450980392157}, {classification=2, sum=56.99607843137255}, {classification=3, sum=747874.2588235262}, {classification=4, sum=233384.29803921562}, {classification=5, sum=13402.862745098038}, {classification=6, sum=27001.623529411765}]",39,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.03383838349832],[22.725535247933585,57.03383838349832],[22.725535247933585,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.03383838349832]]]}"
39,"[{classification=0, sum=0.0}, {classification=1, sum=433.7450980392157}, {classification=2, sum=40.0}, {classification=3, sum=944750.447058823}, {classification=4, sum=139174.38431372558}, {classification=5, sum=65136.45098039217}, {classification=6, sum=22534.447058823527}]",40,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.20510318143561],[22.725535247933585,57.20510318143561],[22.725535247933585,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.20510318143561]]]}"
40,"[{classification=0, sum=0.0}, {classification=1, sum=202.0}, {classification=2, sum=18.0}, {classification=3, sum=497604.9176470529}, {classification=4, sum=38452.90980392155}, {classification=5, sum=22269.333333333336}, {classification=6, sum=2088.9176470588236}]",41,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.3763679793729],[22.725535247933585,57.3763679793729],[22.725535247933585,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.3763679793729]]]}"
41,"[{classification=0, sum=0.0}, {classification=1, sum=93.74901960784314}, {classification=2, sum=12.0}, {classification=3, sum=125575.38823529419}, {classification=4, sum=19187.780392156834}, {classification=5, sum=10547.21568627451}, {classification=6, sum=3264.611764705882}]",42,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.54763277731019],[22.725535247933585,57.54763277731019],[22.725535247933585,57.71889757524748],[22.140820165289057,57.71889757524748],[22.140820165289057,57.54763277731019]]]}"
42,"[{classification=0, sum=0.0}, {classification=3, sum=6607.788235294116}, {classification=4, sum=11044.564705882323}, {classification=5, sum=283.72549019607845}, {classification=6, sum=2187.9058823529413}]",43,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.71889757524748],[22.725535247933585,57.71889757524748],[22.725535247933585,57.89016237318477],[22.140820165289057,57.89016237318477],[22.140820165289057,57.71889757524748]]]}"
48,"[{classification=0, sum=0.0}, {classification=1, sum=69.74509803921569}, {classification=3, sum=90584.14117647063}, {classification=4, sum=15075.670588235294}, {classification=5, sum=350.0}, {classification=6, sum=945.7176470588234}]",49,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.17751439381187],[23.310250330578114,56.17751439381187],[23.310250330578114,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.17751439381187]]]}"
49,"[{classification=0, sum=0.0}, {classification=1, sum=1397.9176470588236}, {classification=2, sum=42.0}, {classification=3, sum=1162692.0352941118}, {classification=4, sum=73150.50980392157}, {classification=5, sum=23051.41176470588}, {classification=6, sum=15828.023529411765}]",50,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.34877919174916],[23.310250330578114,56.34877919174916],[23.310250330578114,56.52004398968645],[22.725535247933585,56.52004398968645],[22.725535247933585,56.34877919174916]]]}"
50,"[{classification=0, sum=0.0}, {classification=1, sum=1271.1215686274509}, {classification=2, sum=20.0}, {classification=3, sum=1191399.999999987}, {classification=4, sum=157525.22352941177}, {classification=5, sum=18241.803921568626}, {classification=6, sum=19640.964705882347}]",51,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.52004398968645],[23.310250330578114,56.52004398968645],[23.310250330578114,56.69130878762374],[22.725535247933585,56.69130878762374],[22.725535247933585,56.52004398968645]]]}"
51,"[{classification=0, sum=0.0}, {classification=1, sum=1087.5019607843135}, {classification=2, sum=34.0}, {classification=3, sum=1348442.623529413}, {classification=4, sum=59435.74901960784}, {classification=5, sum=34858.11764705882}, {classification=6, sum=18414.02352941176}]",52,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.69130878762374],[23.310250330578114,56.69130878762374],[23.310250330578114,56.86257358556103],[22.725535247933585,56.86257358556103],[22.725535247933585,56.69130878762374]]]}"
52,"[{classification=0, sum=0.0}, {classification=1, sum=869.0}, {classification=2, sum=56.0}, {classification=3, sum=1435566.3764705868}, {classification=4, sum=49634.38431372548}, {classification=5, sum=33553.09803921568}, {classification=6, sum=17900.188235294117}]",53,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.86257358556103],[23.310250330578114,56.86257358556103],[23.310250330578114,57.03383838349832],[22.725535247933585,57.03383838349832],[22.725535247933585,56.86257358556103]]]}"
53,"[{classification=0, sum=0.0}, {classification=1, sum=451.2470588235294}, {classification=2, sum=32.99607843137255}, {classification=3, sum=682333.3058823481}, {classification=4, sum=46250.65098039215}, {classification=5, sum=23795.568627450983}, {classification=6, sum=7160.9176470588245}]",54,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,57.03383838349832],[23.310250330578114,57.03383838349832],[23.310250330578114,57.20510318143561],[22.725535247933585,57.20510318143561],[22.725535247933585,57.03383838349832]]]}"
54,"[{classification=0, sum=0.0}, {classification=1, sum=339.2470588235294}, {classification=2, sum=28.0}, {classification=3, sum=435433.7882352947}, {classification=4, sum=161640.90980392168}, {classification=5, sum=14516.843137254902}, {classification=6, sum=31574.494117647057}]",55,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,57.20510318143561],[23.310250330578114,57.20510318143561],[23.310250330578114,57.3763679793729],[22.725535247933585,57.3763679793729],[22.725535247933585,57.20510318143561]]]}"
55,"[{classification=0, sum=0.0}, {classification=1, sum=61.12156862745098}, {classification=2, sum=4.0}, {classification=3, sum=54933.98823529421}, {classification=4, sum=11755.937254901964}, {classification=5, sum=1943.5294117647056}, {classification=6, sum=2615.9058823529417}]",56,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,57.3763679793729],[23.310250330578114,57.3763679793729],[23.310250330578114,57.54763277731019],[22.725535247933585,57.54763277731019],[22.725535247933585,57.3763679793729]]]}"
63,"[{classification=0, sum=0.0}, {classification=1, sum=126.18823529411765}, {classification=3, sum=62234.094117647226}, {classification=4, sum=4304.611764705882}, {classification=5, sum=220.0}, {classification=6, sum=895.3882352941176}]",64,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,56.17751439381187],[23.894965413222643,56.17751439381187],[23.894965413222643,56.34877919174916],[23.310250330578114,56.34877919174916],[23.310250330578114,56.17751439381187]]]}"
64,"[{classification=0, sum=0.0}, {classification=1, sum=3299.717647058824}, {classification=2, sum=12.0}, {classification=3, sum=1461548.6823529382}, {classification=4, sum=267898.3843137255}, {classification=5, sum=9453.43137254902}, {classification=6, sum=20603.24705882353}]",65,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,56.34877919174916],[23.894965413222643,56.34877919174916],[23.894965413222643,56.52004398968645],[23.310250330578114,56.52004398968645],[23.310250330578114,56.34877919174916]]]}"
65,"[{classification=0, sum=0.0}, {classification=1, sum=2739.121568627451}, {classification=2, sum=24.0}, {classification=3, sum=1211281.599999999}, {classification=4, sum=283573.505882353}, {classification=5, sum=12321.196078431372}, {classification=6, sum=36184.0}]",66,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,56.52004398968645],[23.894965413222643,56.52004398968645],[23.894965413222643,56.69130878762374],[23.310250330578114,56.69130878762374],[23.310250330578114,56.52004398968645]]]}"
66,"[{classification=0, sum=0.0}, {classification=1, sum=2298.2509803921566}, {classification=2, sum=4.0}, {classification=3, sum=816979.3647058827}, {classification=4, sum=318234.76078431366}, {classification=5, sum=22839.19607843137}, {classification=6, sum=62196.30588235296}]",67,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,56.69130878762374],[23.894965413222643,56.69130878762374],[23.894965413222643,56.86257358556103],[23.310250330578114,56.86257358556103],[23.310250330578114,56.69130878762374]]]}"
67,"[{classification=0, sum=0.0}, {classification=1, sum=1081.2470588235294}, {classification=2, sum=12.0}, {classification=3, sum=522290.2823529416}, {classification=4, sum=471822.211764706}, {classification=5, sum=17086.901960784315}, {classification=6, sum=23642.282352941173}]",68,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,56.86257358556103],[23.894965413222643,56.86257358556103],[23.894965413222643,57.03383838349832],[23.310250330578114,57.03383838349832],[23.310250330578114,56.86257358556103]]]}"
68,"[{classification=0, sum=0.0}, {classification=1, sum=17.0}, {classification=3, sum=6816.329411764713}, {classification=4, sum=7064.7999999999965}, {classification=5, sum=150.0}, {classification=6, sum=761.2235294117647}]",69,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,57.03383838349832],[23.894965413222643,57.03383838349832],[23.894965413222643,57.20510318143561],[23.310250330578114,57.20510318143561],[23.310250330578114,57.03383838349832]]]}"
78,"[{classification=0, sum=0.0}, {classification=1, sum=886.3254901960784}, {classification=2, sum=16.0}, {classification=3, sum=803145.4235294075}, {classification=4, sum=72160.69019607847}, {classification=5, sum=3292.5294117647063}, {classification=6, sum=7793.458823529412}]",79,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,56.17751439381187],[24.47968049586717,56.17751439381187],[24.47968049586717,56.34877919174916],[23.894965413222643,56.34877919174916],[23.894965413222643,56.17751439381187]]]}"
79,"[{classification=0, sum=0.0}, {classification=1, sum=1786.8705882352942}, {classification=2, sum=44.0}, {classification=3, sum=2047443.0941176484}, {classification=4, sum=230172.97254901967}, {classification=5, sum=49553.74509803922}, {classification=6, sum=28272.705882352937}]",80,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,56.34877919174916],[24.47968049586717,56.34877919174916],[24.47968049586717,56.52004398968645],[23.894965413222643,56.52004398968645],[23.894965413222643,56.34877919174916]]]}"
80,"[{classification=0, sum=0.0}, {classification=1, sum=2585.2509803921566}, {classification=2, sum=80.0}, {classification=3, sum=1531662.7529411651}, {classification=4, sum=258447.57647058836}, {classification=5, sum=9479.372549019608}, {classification=6, sum=24497.15294117647}]",81,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,56.52004398968645],[24.47968049586717,56.52004398968645],[24.47968049586717,56.69130878762374],[23.894965413222643,56.69130878762374],[23.894965413222643,56.52004398968645]]]}"
81,"[{classification=0, sum=0.0}, {classification=1, sum=1168.9960784313726}, {classification=2, sum=42.0}, {classification=3, sum=997696.6823529414}, {classification=4, sum=399483.13725490205}, {classification=5, sum=18786.960784313727}, {classification=6, sum=70531.4588235294}]",82,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,56.69130878762374],[24.47968049586717,56.69130878762374],[24.47968049586717,56.86257358556103],[23.894965413222643,56.86257358556103],[23.894965413222643,56.69130878762374]]]}"
82,"[{classification=0, sum=0.0}, {classification=1, sum=1471.4980392156863}, {classification=2, sum=68.0}, {classification=3, sum=1033619.7294117617}, {classification=4, sum=866264.7529411765}, {classification=5, sum=11464.94117647059}, {classification=6, sum=158902.6823529412}]",83,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,56.86257358556103],[24.47968049586717,56.86257358556103],[24.47968049586717,57.03383838349832],[23.894965413222643,57.03383838349832],[23.894965413222643,56.86257358556103]]]}"
