system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=219.06274509803922}, {classification=2, sum=8.0}, {classification=3, sum=372084.7882352909}, {classification=4, sum=24356.298039215653}, {classification=5, sum=4200.0}, {classification=6, sum=5161.317647058823}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=1220.835294117647}, {classification=2, sum=62.0}, {classification=3, sum=1304464.3294117623}, {classification=4, sum=117419.68627450985}, {classification=5, sum=4563.725490196079}, {classification=6, sum=21130.8705882353}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=640.7411764705882}, {classification=2, sum=60.0}, {classification=3, sum=1896096.5294117562}, {classification=4, sum=254566.2588235295}, {classification=5, sum=1496.235294117647}, {classification=6, sum=63340.28235294117}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=771.1843137254901}, {classification=2, sum=78.0}, {classification=3, sum=2456203.5176470466}, {classification=4, sum=136249.41176470643}, {classification=5, sum=17090.0}, {classification=6, sum=93879.50588235309}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=238.12549019607843}, {classification=2, sum=58.0}, {classification=3, sum=1158745.2588235259}, {classification=4, sum=95789.69411764709}, {classification=5, sum=5427.764705882353}, {classification=6, sum=23954.75294117647}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=59.12156862745098}, {classification=2, sum=36.0}, {classification=3, sum=453063.1882352935}, {classification=4, sum=83361.66274509799}, {classification=5, sum=6049.980392156862}, {classification=6, sum=11059.670588235294}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=50.0}, {classification=2, sum=4.0}, {classification=3, sum=424429.329411763}, {classification=4, sum=51261.929411764926}, {classification=5, sum=745.6274509803922}, {classification=6, sum=6874.329411764705}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=26.0}, {classification=2, sum=10.0}, {classification=3, sum=358433.0235294119}, {classification=4, sum=46535.450980392096}, {classification=5, sum=17430.0}, {classification=6, sum=16439.717647058817}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=1, sum=2.0}, {classification=3, sum=7202.752941176467}, {classification=4, sum=14457.113725490182}, {classification=5, sum=95.0}, {classification=6, sum=12613.011764705863}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=793.9960784313724}, {classification=3, sum=216140.68235294145}, {classification=4, sum=990.7921568627451}, {classification=5, sum=239.3529411764706}, {classification=6, sum=855.8352941176471}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
