system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=68.0}, {classification=2, sum=4.0}, {classification=3, sum=168818.2823529415}, {classification=4, sum=19785.83529411763}, {classification=5, sum=24568.745098039217}, {classification=6, sum=460.47058823529414}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=268.0}, {classification=2, sum=12.0}, {classification=3, sum=779147.1176470572}, {classification=4, sum=43235.85882352941}, {classification=5, sum=10438.078431372549}, {classification=6, sum=2272.0470588235294}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=548.0}, {classification=2, sum=20.0}, {classification=3, sum=1490290.9999999935}, {classification=4, sum=221011.79607843136}, {classification=5, sum=5689.9607843137255}, {classification=6, sum=34744.02352941176}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=504.0}, {classification=2, sum=42.0}, {classification=3, sum=1667250.5176470582}, {classification=4, sum=106014.03921568667}, {classification=5, sum=34343.549019607846}, {classification=6, sum=35415.74117647068}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=261.0}, {classification=2, sum=18.0}, {classification=3, sum=644322.823529412}, {classification=4, sum=27330.698039215687}, {classification=5, sum=28443.98039215686}, {classification=6, sum=1803.4588235294118}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=100.0}, {classification=2, sum=8.0}, {classification=3, sum=187251.72941176489}, {classification=4, sum=9734.400000000001}, {classification=5, sum=13960.274509803916}, {classification=6, sum=1436.0941176470592}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=139.0}, {classification=2, sum=4.0}, {classification=3, sum=174381.62352941177}, {classification=4, sum=4305.945098039214}, {classification=5, sum=3754.9803921568628}, {classification=6, sum=652.7529411764706}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=48.0}, {classification=2, sum=8.0}, {classification=3, sum=223669.25882352944}, {classification=4, sum=12534.729411764689}, {classification=5, sum=26408.725490196077}, {classification=6, sum=2292.6352941176474}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=8522.799999999996}, {classification=4, sum=12244.894117647043}, {classification=5, sum=105.0}, {classification=6, sum=8885.623529411754}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=31.0}, {classification=3, sum=168964.44705882377}, {classification=4, sum=204.0}, {classification=5, sum=281.8627450980392}, {classification=6, sum=156.0}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
19,"[{classification=0, sum=0.0}, {classification=1, sum=348.7450980392157}, {classification=2, sum=52.0}, {classification=3, sum=1393797.2823529346}, {classification=4, sum=27725.99215686274}, {classification=5, sum=9524.666666666666}, {classification=6, sum=5760.0}]",20,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.34877919174916],[22.140820165289057,56.34877919174916],[22.140820165289057,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.34877919174916]]]}"
20,"[{classification=0, sum=0.0}, {classification=1, sum=564.2470588235294}, {classification=2, sum=26.0}, {classification=3, sum=1202325.7882352856}, {classification=4, sum=74059.12156862745}, {classification=5, sum=8507.490196078432}, {classification=6, sum=3662.964705882353}]",21,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.52004398968645]]]}"
21,"[{classification=0, sum=0.0}, {classification=1, sum=442.0}, {classification=2, sum=68.0}, {classification=3, sum=1848958.0117647033}, {classification=4, sum=79548.2352941177}, {classification=5, sum=5994.9607843137255}, {classification=6, sum=9993.03529411765}]",22,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,56.69130878762374]]]}"
22,"[{classification=0, sum=0.0}, {classification=1, sum=466.0}, {classification=2, sum=22.0}, {classification=3, sum=1439263.4352941075}, {classification=4, sum=82500.17254901961}, {classification=5, sum=16888.64705882353}, {classification=6, sum=9540.0}]",23,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,56.86257358556103]]]}"
23,"[{classification=0, sum=0.0}, {classification=1, sum=266.0}, {classification=2, sum=30.0}, {classification=3, sum=496381.47058823565}, {classification=4, sum=111653.19215686277}, {classification=5, sum=21749.86274509803}, {classification=6, sum=7940.9411764705865}]",24,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.03383838349832]]]}"
24,"[{classification=0, sum=0.0}, {classification=1, sum=195.74901960784314}, {classification=2, sum=14.0}, {classification=3, sum=1081508.8588235213}, {classification=4, sum=121965.99215686275}, {classification=5, sum=5738.725490196079}, {classification=6, sum=6721.341176470589}]",25,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.20510318143561]]]}"
25,"[{classification=0, sum=0.0}, {classification=1, sum=252.0}, {classification=2, sum=26.0}, {classification=3, sum=496494.05882353}, {classification=4, sum=78664.40784313735}, {classification=5, sum=5694.294117647059}, {classification=6, sum=38646.28235294125}]",26,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.54763277731019],[21.556105082644528,57.54763277731019],[21.556105082644528,57.3763679793729]]]}"
26,"[{classification=0, sum=0.0}, {classification=1, sum=26.0}, {classification=3, sum=51523.81176470589}, {classification=4, sum=28389.286274509803}, {classification=5, sum=3266.235294117647}, {classification=6, sum=1704.894117647059}]",27,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.71889757524748],[21.556105082644528,57.71889757524748],[21.556105082644528,57.54763277731019]]]}"
34,"[{classification=0, sum=0.0}, {classification=1, sum=128.0}, {classification=2, sum=46.0}, {classification=3, sum=1202592.7882352918}, {classification=4, sum=8251.16862745098}, {classification=5, sum=13615.64705882353}, {classification=6, sum=1764.0}]",35,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.34877919174916]]]}"
35,"[{classification=0, sum=0.0}, {classification=1, sum=310.5019607843137}, {classification=2, sum=56.0}, {classification=3, sum=1508833.0941176391}, {classification=4, sum=99294.2274509804}, {classification=5, sum=16343.745098039217}, {classification=6, sum=11464.517647058823}]",36,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.52004398968645],[22.725535247933585,56.52004398968645],[22.725535247933585,56.69130878762374],[22.140820165289057,56.69130878762374],[22.140820165289057,56.52004398968645]]]}"
36,"[{classification=0, sum=0.0}, {classification=1, sum=502.4980392156863}, {classification=2, sum=34.0}, {classification=3, sum=1898706.7529411695}, {classification=4, sum=38003.51372549019}, {classification=5, sum=23100.019607843136}, {classification=6, sum=5629.482352941177}]",37,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.69130878762374],[22.725535247933585,56.69130878762374],[22.725535247933585,56.86257358556103],[22.140820165289057,56.86257358556103],[22.140820165289057,56.69130878762374]]]}"
37,"[{classification=0, sum=0.0}, {classification=1, sum=489.0}, {classification=2, sum=48.0}, {classification=3, sum=1574293.7999999875}, {classification=4, sum=31787.654901960803}, {classification=5, sum=10704.980392156864}, {classification=6, sum=6312.0}]",38,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,56.86257358556103],[22.725535247933585,56.86257358556103],[22.725535247933585,57.03383838349832],[22.140820165289057,57.03383838349832],[22.140820165289057,56.86257358556103]]]}"
38,"[{classification=0, sum=0.0}, {classification=1, sum=559.0}, {classification=2, sum=26.0}, {classification=3, sum=1099038.3647058785}, {classification=4, sum=263344.79999999993}, {classification=5, sum=6367.882352941177}, {classification=6, sum=47072.30588235294}]",39,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.03383838349832],[22.725535247933585,57.03383838349832],[22.725535247933585,57.20510318143561],[22.140820165289057,57.20510318143561],[22.140820165289057,57.03383838349832]]]}"
39,"[{classification=0, sum=0.0}, {classification=1, sum=831.2509803921569}, {classification=2, sum=70.0}, {classification=3, sum=1453638.329411764}, {classification=4, sum=184634.40000000008}, {classification=5, sum=33695.8431372549}, {classification=6, sum=23607.717647058824}]",40,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.20510318143561],[22.725535247933585,57.20510318143561],[22.725535247933585,57.3763679793729],[22.140820165289057,57.3763679793729],[22.140820165289057,57.20510318143561]]]}"
40,"[{classification=0, sum=0.0}, {classification=1, sum=562.0}, {classification=2, sum=24.0}, {classification=3, sum=967051.6470588293}, {classification=4, sum=39057.490196078434}, {classification=5, sum=19876.235294117647}, {classification=6, sum=2932.470588235294}]",41,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.3763679793729],[22.725535247933585,57.3763679793729],[22.725535247933585,57.54763277731019],[22.140820165289057,57.54763277731019],[22.140820165289057,57.3763679793729]]]}"
41,"[{classification=0, sum=0.0}, {classification=1, sum=149.0}, {classification=2, sum=10.250980392156862}, {classification=3, sum=353792.2235294117}, {classification=4, sum=24369.333333333303}, {classification=5, sum=7829.529411764706}, {classification=6, sum=3501.4117647058824}]",42,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.54763277731019],[22.725535247933585,57.54763277731019],[22.725535247933585,57.71889757524748],[22.140820165289057,57.71889757524748],[22.140820165289057,57.54763277731019]]]}"
42,"[{classification=0, sum=0.0}, {classification=1, sum=1.0}, {classification=3, sum=9403.776470588191}, {classification=4, sum=9633.17647058822}, {classification=5, sum=140.0}, {classification=6, sum=2795.5058823529403}]",43,"{""type"":""Polygon"",""coordinates"":[[[22.140820165289057,57.71889757524748],[22.725535247933585,57.71889757524748],[22.725535247933585,57.89016237318477],[22.140820165289057,57.89016237318477],[22.140820165289057,57.71889757524748]]]}"
48,"[{classification=0, sum=0.0}, {classification=1, sum=4.0}, {classification=3, sum=148169.90588235317}, {classification=4, sum=489.2392156862745}, {classification=5, sum=25.0}, {classification=6, sum=125.85882352941177}]",49,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.17751439381187],[23.310250330578114,56.17751439381187],[23.310250330578114,56.34877919174916],[22.725535247933585,56.34877919174916],[22.725535247933585,56.17751439381187]]]}"
49,"[{classification=0, sum=0.0}, {classification=1, sum=250.0}, {classification=2, sum=74.0}, {classification=3, sum=2160330.2941176402}, {classification=4, sum=11721.035294117646}, {classification=5, sum=4003.1176470588234}, {classification=6, sum=4920.0}]",50,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.34877919174916],[23.310250330578114,56.34877919174916],[23.310250330578114,56.52004398968645],[22.725535247933585,56.52004398968645],[22.725535247933585,56.34877919174916]]]}"
50,"[{classification=0, sum=0.0}, {classification=1, sum=266.0}, {classification=2, sum=54.0}, {classification=3, sum=1841808.7294117562}, {classification=4, sum=96156.42352941177}, {classification=5, sum=6860.607843137255}, {classification=6, sum=10891.482352941177}]",51,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.52004398968645],[23.310250330578114,56.52004398968645],[23.310250330578114,56.69130878762374],[22.725535247933585,56.69130878762374],[22.725535247933585,56.52004398968645]]]}"
51,"[{classification=0, sum=0.0}, {classification=1, sum=452.12549019607843}, {classification=2, sum=102.25098039215686}, {classification=3, sum=2157004.4823529483}, {classification=4, sum=23047.93725490196}, {classification=5, sum=18935.0}, {classification=6, sum=3076.470588235294}]",52,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.69130878762374],[23.310250330578114,56.69130878762374],[23.310250330578114,56.86257358556103],[22.725535247933585,56.86257358556103],[22.725535247933585,56.69130878762374]]]}"
52,"[{classification=0, sum=0.0}, {classification=1, sum=451.0}, {classification=2, sum=80.0}, {classification=3, sum=2126285.7882352844}, {classification=4, sum=50235.49803921569}, {classification=5, sum=14294.980392156864}, {classification=6, sum=20039.176470588234}]",53,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.86257358556103],[23.310250330578114,56.86257358556103],[23.310250330578114,57.03383838349832],[22.725535247933585,57.03383838349832],[22.725535247933585,56.86257358556103]]]}"
