"","pixels","label","area","year","transition","previous_class","current_class"
"127",67,184,2010,"1990","1","1","3"
"128",81.5294117647059,185,2445.88235294118,"1990","1","1","3"
"129",24,186,720,"1990","1","1","3"
"130",NA,3,NA,"1990","2","1","2"
"131",NA,4,NA,"1990","2","1","2"
"132",NA,5,NA,"1990","2","1","2"
"133",NA,6,NA,"1990","2","1","2"
"134",NA,7,NA,"1990","2","1","2"
"135",NA,8,NA,"1990","2","1","2"
"136",NA,9,NA,"1990","2","1","2"
"137",NA,10,NA,"1990","2","1","2"
"138",NA,11,NA,"1990","2","1","2"
"139",NA,19,NA,"1990","2","1","2"
"140",NA,20,NA,"1990","2","1","2"
"141",NA,21,NA,"1990","2","1","2"
"142",NA,22,NA,"1990","2","1","2"
"143",NA,23,NA,"1990","2","1","2"
"144",NA,24,NA,"1990","2","1","2"
"145",NA,25,NA,"1990","2","1","2"
"146",NA,26,NA,"1990","2","1","2"
"147",NA,27,NA,"1990","2","1","2"
"148",NA,35,NA,"1990","2","1","2"
"149",NA,36,NA,"1990","2","1","2"
"150",NA,37,NA,"1990","2","1","2"
"151",NA,38,NA,"1990","2","1","2"
"152",NA,39,NA,"1990","2","1","2"
"153",NA,40,NA,"1990","2","1","2"
"154",NA,41,NA,"1990","2","1","2"
"155",NA,42,NA,"1990","2","1","2"
"156",NA,43,NA,"1990","2","1","2"
"157",NA,49,NA,"1990","2","1","2"
"158",NA,50,NA,"1990","2","1","2"
"159",NA,51,NA,"1990","2","1","2"
"160",NA,52,NA,"1990","2","1","2"
"161",NA,53,NA,"1990","2","1","2"
"162",NA,54,NA,"1990","2","1","2"
"163",NA,55,NA,"1990","2","1","2"
"164",NA,56,NA,"1990","2","1","2"
"165",NA,64,NA,"1990","2","1","2"
"166",NA,65,NA,"1990","2","1","2"
"167",NA,66,NA,"1990","2","1","2"
"168",NA,67,NA,"1990","2","1","2"
"169",NA,68,NA,"1990","2","1","2"
"170",NA,69,NA,"1990","2","1","2"
"171",NA,79,NA,"1990","2","1","2"
"172",NA,80,NA,"1990","2","1","2"
"173",NA,81,NA,"1990","2","1","2"
"174",NA,82,NA,"1990","2","1","2"
"175",NA,83,NA,"1990","2","1","2"
"176",NA,84,NA,"1990","2","1","2"
"177",NA,85,NA,"1990","2","1","2"
"178",NA,86,NA,"1990","2","1","2"
"179",NA,87,NA,"1990","2","1","2"
"180",NA,88,NA,"1990","2","1","2"
"181",NA,89,NA,"1990","2","1","2"
"182",NA,94,NA,"1990","2","1","2"
"183",NA,95,NA,"1990","2","1","2"
"184",NA,96,NA,"1990","2","1","2"
"185",NA,97,NA,"1990","2","1","2"
"186",NA,98,NA,"1990","2","1","2"
"187",NA,99,NA,"1990","2","1","2"
"188",NA,100,NA,"1990","2","1","2"
"189",NA,101,NA,"1990","2","1","2"
"190",NA,102,NA,"1990","2","1","2"
"191",NA,103,NA,"1990","2","1","2"
"192",NA,104,NA,"1990","2","1","2"
"193",NA,108,NA,"1990","2","1","2"
"194",NA,109,NA,"1990","2","1","2"
"195",NA,110,NA,"1990","2","1","2"
"196",NA,111,NA,"1990","2","1","2"
"197",NA,112,NA,"1990","2","1","2"
"198",NA,113,NA,"1990","2","1","2"
"199",NA,114,NA,"1990","2","1","2"
"200",NA,115,NA,"1990","2","1","2"
"201",NA,116,NA,"1990","2","1","2"
"202",NA,117,NA,"1990","2","1","2"
"203",NA,118,NA,"1990","2","1","2"
"204",NA,119,NA,"1990","2","1","2"
"205",NA,120,NA,"1990","2","1","2"
"206",NA,121,NA,"1990","2","1","2"
"207",NA,122,NA,"1990","2","1","2"
"208",NA,123,NA,"1990","2","1","2"
"209",NA,124,NA,"1990","2","1","2"
"210",NA,125,NA,"1990","2","1","2"
"211",NA,126,NA,"1990","2","1","2"
"212",NA,127,NA,"1990","2","1","2"
"213",NA,128,NA,"1990","2","1","2"
"214",NA,129,NA,"1990","2","1","2"
"215",NA,130,NA,"1990","2","1","2"
"216",NA,131,NA,"1990","2","1","2"
"217",NA,132,NA,"1990","2","1","2"
"218",NA,133,NA,"1990","2","1","2"
"219",NA,134,NA,"1990","2","1","2"
"220",NA,136,NA,"1990","2","1","2"
"221",NA,137,NA,"1990","2","1","2"
"222",NA,138,NA,"1990","2","1","2"
"223",NA,139,NA,"1990","2","1","2"
"224",NA,140,NA,"1990","2","1","2"
"225",NA,141,NA,"1990","2","1","2"
"226",NA,142,NA,"1990","2","1","2"
"227",NA,143,NA,"1990","2","1","2"
"228",NA,144,NA,"1990","2","1","2"
"229",NA,145,NA,"1990","2","1","2"
"230",NA,146,NA,"1990","2","1","2"
"231",NA,147,NA,"1990","2","1","2"
"232",NA,151,NA,"1990","2","1","2"
"233",NA,152,NA,"1990","2","1","2"
"234",NA,153,NA,"1990","2","1","2"
"235",NA,154,NA,"1990","2","1","2"
"236",NA,155,NA,"1990","2","1","2"
"237",NA,156,NA,"1990","2","1","2"
"238",NA,157,NA,"1990","2","1","2"
"239",NA,158,NA,"1990","2","1","2"
"240",NA,159,NA,"1990","2","1","2"
"241",NA,160,NA,"1990","2","1","2"
"242",NA,161,NA,"1990","2","1","2"
"243",NA,162,NA,"1990","2","1","2"
"244",NA,166,NA,"1990","2","1","2"
"245",NA,167,NA,"1990","2","1","2"
"246",NA,168,NA,"1990","2","1","2"
"247",NA,169,NA,"1990","2","1","2"
"248",NA,170,NA,"1990","2","1","2"
"249",NA,171,NA,"1990","2","1","2"
"250",NA,172,NA,"1990","2","1","2"
"251",NA,173,NA,"1990","2","1","2"
"252",NA,174,NA,"1990","2","1","2"
"253",NA,175,NA,"1990","2","1","2"
"254",NA,176,NA,"1990","2","1","2"
"255",NA,183,NA,"1990","2","1","2"
"256",NA,184,NA,"1990","2","1","2"
"257",NA,185,NA,"1990","2","1","2"
"258",NA,186,NA,"1990","2","1","2"
"259",NA,3,NA,"1990","3","2","1"
"260",NA,4,NA,"1990","3","2","1"
"261",NA,5,NA,"1990","3","2","1"
"262",NA,6,NA,"1990","3","2","1"
"263",NA,7,NA,"1990","3","2","1"
"264",NA,8,NA,"1990","3","2","1"
"265",NA,9,NA,"1990","3","2","1"
"266",NA,10,NA,"1990","3","2","1"
"267",NA,11,NA,"1990","3","2","1"
"268",NA,19,NA,"1990","3","2","1"
"269",NA,20,NA,"1990","3","2","1"
"270",NA,21,NA,"1990","3","2","1"
"271",NA,22,NA,"1990","3","2","1"
"272",NA,23,NA,"1990","3","2","1"
"273",NA,24,NA,"1990","3","2","1"
"274",NA,25,NA,"1990","3","2","1"
"275",NA,26,NA,"1990","3","2","1"
"276",NA,27,NA,"1990","3","2","1"
"277",NA,35,NA,"1990","3","2","1"
"278",NA,36,NA,"1990","3","2","1"
"279",2,37,60,"1990","3","2","1"
"280",NA,38,NA,"1990","3","2","1"
"281",NA,39,NA,"1990","3","2","1"
"282",NA,40,NA,"1990","3","2","1"
"283",NA,41,NA,"1990","3","2","1"
"284",NA,42,NA,"1990","3","2","1"
"285",NA,43,NA,"1990","3","2","1"
"286",NA,49,NA,"1990","3","2","1"
"287",NA,50,NA,"1990","3","2","1"
"288",NA,51,NA,"1990","3","2","1"
"289",NA,52,NA,"1990","3","2","1"
"290",NA,53,NA,"1990","3","2","1"
"291",NA,54,NA,"1990","3","2","1"
"292",NA,55,NA,"1990","3","2","1"
"293",NA,56,NA,"1990","3","2","1"
"294",NA,64,NA,"1990","3","2","1"
"295",1,65,30,"1990","3","2","1"
"296",NA,66,NA,"1990","3","2","1"
"297",NA,67,NA,"1990","3","2","1"
"298",NA,68,NA,"1990","3","2","1"
"299",NA,69,NA,"1990","3","2","1"
"300",NA,79,NA,"1990","3","2","1"
"301",NA,80,NA,"1990","3","2","1"
"302",NA,81,NA,"1990","3","2","1"
"303",2,82,60,"1990","3","2","1"
"304",NA,83,NA,"1990","3","2","1"
"305",NA,84,NA,"1990","3","2","1"
"306",NA,85,NA,"1990","3","2","1"
"307",NA,86,NA,"1990","3","2","1"
"308",NA,87,NA,"1990","3","2","1"
"309",NA,88,NA,"1990","3","2","1"
"310",NA,89,NA,"1990","3","2","1"
"311",NA,94,NA,"1990","3","2","1"
"312",NA,95,NA,"1990","3","2","1"
"313",NA,96,NA,"1990","3","2","1"
"314",NA,97,NA,"1990","3","2","1"
"315",NA,98,NA,"1990","3","2","1"
"316",NA,99,NA,"1990","3","2","1"
"317",NA,100,NA,"1990","3","2","1"
"318",NA,101,NA,"1990","3","2","1"
"319",NA,102,NA,"1990","3","2","1"
"320",NA,103,NA,"1990","3","2","1"
"321",NA,104,NA,"1990","3","2","1"
"322",NA,108,NA,"1990","3","2","1"
"323",2,109,60,"1990","3","2","1"
"324",NA,110,NA,"1990","3","2","1"
"325",NA,111,NA,"1990","3","2","1"
"326",NA,112,NA,"1990","3","2","1"
"327",NA,113,NA,"1990","3","2","1"
"328",NA,114,NA,"1990","3","2","1"
"329",NA,115,NA,"1990","3","2","1"
"330",NA,116,NA,"1990","3","2","1"
"331",NA,117,NA,"1990","3","2","1"
"332",NA,118,NA,"1990","3","2","1"
"333",NA,119,NA,"1990","3","2","1"
"334",NA,120,NA,"1990","3","2","1"
"335",NA,121,NA,"1990","3","2","1"
"336",NA,122,NA,"1990","3","2","1"
"337",NA,123,NA,"1990","3","2","1"
"338",NA,124,NA,"1990","3","2","1"
"339",NA,125,NA,"1990","3","2","1"
"340",NA,126,NA,"1990","3","2","1"
"341",NA,127,NA,"1990","3","2","1"
"342",NA,128,NA,"1990","3","2","1"
"343",NA,129,NA,"1990","3","2","1"
"344",NA,130,NA,"1990","3","2","1"
"345",NA,131,NA,"1990","3","2","1"
"346",NA,132,NA,"1990","3","2","1"
"347",NA,133,NA,"1990","3","2","1"
"348",NA,134,NA,"1990","3","2","1"
"349",NA,136,NA,"1990","3","2","1"
"350",NA,137,NA,"1990","3","2","1"
