system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=131.0}, {classification=2, sum=4.0}, {classification=3, sum=358392.12941176165}, {classification=4, sum=30914.964705882332}, {classification=5, sum=4222.490196078432}, {classification=6, sum=5080.517647058823}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=322.87450980392157}, {classification=2, sum=48.0}, {classification=3, sum=1184786.5647058785}, {classification=4, sum=83784.18823529404}, {classification=5, sum=12781.607843137253}, {classification=6, sum=8606.188235294117}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=840.1254901960784}, {classification=2, sum=88.0}, {classification=3, sum=1825259.305882352}, {classification=4, sum=289654.4941176471}, {classification=5, sum=5415.803921568628}, {classification=6, sum=41902.42352941175}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=664.1254901960784}, {classification=2, sum=120.0}, {classification=3, sum=2276478.30588234}, {classification=4, sum=149446.82352941248}, {classification=5, sum=20458.13725490196}, {classification=6, sum=58301.71764705886}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=315.0}, {classification=2, sum=68.0}, {classification=3, sum=1029726.0470588242}, {classification=4, sum=118181.63137254902}, {classification=5, sum=10656.882352941177}, {classification=6, sum=11441.411764705881}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=133.0}, {classification=2, sum=46.0}, {classification=3, sum=384076.1058823531}, {classification=4, sum=82154.22745098034}, {classification=5, sum=9098.882352941177}, {classification=6, sum=4741.6}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=124.24705882352941}, {classification=2, sum=12.0}, {classification=3, sum=385647.011764704}, {classification=4, sum=56227.68627450999}, {classification=5, sum=4430.0}, {classification=6, sum=4106.07058823529}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=63.870588235294115}, {classification=2, sum=28.0}, {classification=3, sum=314218.40000000014}, {classification=4, sum=41357.22352941163}, {classification=5, sum=19760.62745098039}, {classification=6, sum=9366.847058823529}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=7260.647058823525}, {classification=4, sum=13990.901960784304}, {classification=5, sum=15.0}, {classification=6, sum=9075.95294117647}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=82.0}, {classification=3, sum=206825.529411765}, {classification=4, sum=1089.7568627450978}, {classification=5, sum=150.0}, {classification=6, sum=1080.0}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
