system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=14.0}, {classification=2, sum=8.0}, {classification=3, sum=275231.6235294114}, {classification=4, sum=20631.168627450967}, {classification=5, sum=14025.0}, {classification=6, sum=606.0235294117648}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=115.49803921568628}, {classification=2, sum=14.0}, {classification=3, sum=1039415.5058823501}, {classification=4, sum=57103.84313725492}, {classification=5, sum=10518.725490196077}, {classification=6, sum=6706.729411764705}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=328.0}, {classification=2, sum=24.0}, {classification=3, sum=1688871.5999999917}, {classification=4, sum=206941.97647058824}, {classification=5, sum=8363.725490196079}, {classification=6, sum=61492.11764705882}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=392.0}, {classification=2, sum=84.0}, {classification=3, sum=2187466.611764692}, {classification=4, sum=115647.95294117682}, {classification=5, sum=35651.8431372549}, {classification=6, sum=42028.16470588248}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=189.12549019607843}, {classification=2, sum=32.0}, {classification=3, sum=1070759.329411762}, {classification=4, sum=52974.32156862745}, {classification=5, sum=11808.137254901962}, {classification=6, sum=3196.4470588235295}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=99.74901960784314}, {classification=2, sum=30.0}, {classification=3, sum=355517.4235294119}, {classification=4, sum=48220.70588235295}, {classification=5, sum=10443.431372549021}, {classification=6, sum=3101.6470588235293}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=61.0}, {classification=2, sum=4.0}, {classification=3, sum=271622.1647058823}, {classification=4, sum=10102.462745098004}, {classification=5, sum=2470.607843137255}, {classification=6, sum=1073.1294117647058}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=9.0}, {classification=2, sum=16.0}, {classification=3, sum=263344.45882352954}, {classification=4, sum=18536.43921568626}, {classification=5, sum=23919.35294117647}, {classification=6, sum=3299.317647058824}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=8305.776470588227}, {classification=4, sum=12696.31372549018}, {classification=5, sum=245.0}, {classification=6, sum=8896.023529411756}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=17.0}, {classification=3, sum=221445.65882352967}, {classification=4, sum=767.6235294117647}, {classification=5, sum=137.49019607843138}, {classification=6, sum=108.0}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
