system:index,groups,label,.geo
2,"[{classification=0, sum=0.0}, {classification=1, sum=318.121568627451}, {classification=2, sum=8.0}, {classification=3, sum=205260.32941176495}, {classification=4, sum=59462.07058823536}, {classification=5, sum=7474.549019607843}, {classification=6, sum=8653.2}]",3,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.00624959587458],[21.556105082644528,56.00624959587458],[21.556105082644528,56.17751439381187],[20.97139,56.17751439381187],[20.97139,56.00624959587458]]]}"
3,"[{classification=0, sum=0.0}, {classification=1, sum=927.2627450980392}, {classification=2, sum=16.0}, {classification=3, sum=632468.2352941177}, {classification=4, sum=168560.12549019628}, {classification=5, sum=13940.921568627451}, {classification=6, sum=17226.470588235294}]",4,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.17751439381187],[21.556105082644528,56.17751439381187],[21.556105082644528,56.34877919174916],[20.97139,56.34877919174916],[20.97139,56.17751439381187]]]}"
4,"[{classification=0, sum=0.0}, {classification=1, sum=571.3725490196078}, {classification=2, sum=68.0}, {classification=3, sum=1220471.6823529399}, {classification=4, sum=291064.4862745099}, {classification=5, sum=10615.627450980392}, {classification=6, sum=58061.905882352934}]",5,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.52004398968645],[20.97139,56.52004398968645],[20.97139,56.34877919174916]]]}"
5,"[{classification=0, sum=0.0}, {classification=1, sum=550.2509803921569}, {classification=2, sum=106.0}, {classification=3, sum=1920956.4823529287}, {classification=4, sum=124711.82745098077}, {classification=5, sum=26534.960784313727}, {classification=6, sum=47994.70588235304}]",6,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.69130878762374],[20.97139,56.69130878762374],[20.97139,56.52004398968645]]]}"
6,"[{classification=0, sum=0.0}, {classification=1, sum=220.50196078431372}, {classification=2, sum=22.0}, {classification=3, sum=798035.8823529416}, {classification=4, sum=39711.60784313722}, {classification=5, sum=23936.862745098042}, {classification=6, sum=4731.905882352941}]",7,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.86257358556103],[20.97139,56.86257358556103],[20.97139,56.69130878762374]]]}"
7,"[{classification=0, sum=0.0}, {classification=1, sum=95.49803921568628}, {classification=2, sum=18.0}, {classification=3, sum=246521.0470588236}, {classification=4, sum=11656.266666666668}, {classification=5, sum=4528.745098039216}, {classification=6, sum=1527.4117647058827}]",8,"{""type"":""Polygon"",""coordinates"":[[[20.97139,56.86257358556103],[21.556105082644528,56.86257358556103],[21.556105082644528,57.03383838349832],[20.97139,57.03383838349832],[20.97139,56.86257358556103]]]}"
8,"[{classification=0, sum=0.0}, {classification=1, sum=100.12549019607843}, {classification=2, sum=4.0}, {classification=3, sum=158925.52941176464}, {classification=4, sum=6561.945098039189}, {classification=5, sum=4388.745098039216}, {classification=6, sum=1637.9529411764709}]",9,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.03383838349832],[21.556105082644528,57.03383838349832],[21.556105082644528,57.20510318143561],[20.97139,57.20510318143561],[20.97139,57.03383838349832]]]}"
9,"[{classification=0, sum=0.0}, {classification=1, sum=70.0}, {classification=3, sum=160453.64705882358}, {classification=4, sum=5972.376470588237}, {classification=5, sum=30694.980392156864}, {classification=6, sum=1457.105882352941}]",10,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.20510318143561],[21.556105082644528,57.20510318143561],[21.556105082644528,57.3763679793729],[20.97139,57.3763679793729],[20.97139,57.20510318143561]]]}"
10,"[{classification=0, sum=0.0}, {classification=3, sum=9079.458823529401}, {classification=4, sum=9593.866666666665}, {classification=5, sum=126.21568627450979}, {classification=6, sum=9833.505882352934}]",11,"{""type"":""Polygon"",""coordinates"":[[[20.97139,57.3763679793729],[21.556105082644528,57.3763679793729],[21.556105082644528,57.54763277731019],[20.97139,57.54763277731019],[20.97139,57.3763679793729]]]}"
18,"[{classification=0, sum=0.0}, {classification=1, sum=78.87450980392157}, {classification=3, sum=89016.45882352957}, {classification=4, sum=6634.901960784314}, {classification=5, sum=875.6078431372549}, {classification=6, sum=644.964705882353}]",19,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.17751439381187],[22.140820165289057,56.17751439381187],[22.140820165289057,56.34877919174916],[21.556105082644528,56.34877919174916],[21.556105082644528,56.17751439381187]]]}"
19,"[{classification=0, sum=0.0}, {classification=1, sum=680.7490196078431}, {classification=2, sum=44.0}, {classification=3, sum=951524.7647058817}, {classification=4, sum=84965.30196078432}, {classification=5, sum=6593.098039215686}, {classification=6, sum=12964.070588235294}]",20,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.34877919174916],[22.140820165289057,56.34877919174916],[22.140820165289057,56.52004398968645],[21.556105082644528,56.52004398968645],[21.556105082644528,56.34877919174916]]]}"
20,"[{classification=0, sum=0.0}, {classification=1, sum=444.74901960784314}, {classification=2, sum=58.0}, {classification=3, sum=924902.5411764658}, {classification=4, sum=144867.81176470593}, {classification=5, sum=8624.980392156864}, {classification=6, sum=6251.952941176471}]",21,"{""type"":""Polygon"",""coordinates"":[[[21.556105082644528,56.52004398968645],[22.140820165289057,56.52004398968645],[22.140820165289057,56.69130878762374],[21.556105082644528,56.69130878762374],[21.556105082644528,56.52004398968645]]]}"
